country	accession_id	accession_name	taxonomy	improvement_status	cultivar_class	narrative	region
Afghanistan	G_21629	G 21629	Cucurbita maxima	NA	NA	NA	Asia
Afghanistan	G_21630	G 21630	Cucurbita maxima	NA	NA	NA	Asia
Afghanistan	PI_135396	No. 5057	Cucurbita maxima	NA	NA	Fruit somewhat flattened, 10 by 9 inches; rind pea green, heavily indented ribs; flesh orange, 2 to 3 inches thick, falirly good.	Asia
Afghanistan	PI_135353	No. 4921	Cucurbita maxima	NA	NA	Fruit subglobose, slightly flattened, 18 inches in length; weight about 50 pounds; rind grayish green; flesh yellow, 3 inches thick, not very sweet.	Asia
Afghanistan	PI_135355	No. 5016	Cucurbita maxima	NA	NA	Fruit 24 by 10 inches; rind smooth; unribbed, handsome salmon pink with green belly; flesh 2.5 inches thick, of good texture, and sweet.	Asia
Afghanistan	PI_135351	No. 4900	Cucurbita maxima	NA	NA	Fruits slightly flattened, 14 inches in length; rind salmon pink; flesh yellow, 2 inches thick, fair quality.	Asia
Afghanistan	PI_135352	No. 4911	Cucurbita maxima	NA	NA	Fruits slightly flattened, 15 inches in length; rind obscurely ribbed, gray green; flesh yellow, 2.5 inches thick, fair quality.	Asia
Afghanistan	PI_135387	No. 4930	Cucurbita maxima	NA	NA	Fruit globose, 10 inches in diameter; rind white, faintly ribbed; flesh pale orange, 2 inches thick, incipid.	Asia
Afghanistan	PI_223438	Kadoo	Cucurbita maxima	NA	NA	NA	Asia
Afghanistan	PI_135356	No. 5037	Cucurbita maxima	NA	NA	Fruit flattened, 11 by 7 inches; rind orange red with obscure rib lines of cream, smooth; flesh orange, not very sweet, smooth; flesh yellow, 3 inches thich, insipid.	Asia
Afghanistan	PI_135358	No. 5049	Cucurbita maxima	NA	NA	Fruit globose, 11 inches in diameter; rind creamy white, with indented ribs; flesh yellow, 2 inches thick, insipid.	Asia
Afghanistan	PI_135365	No. 4902	Cucurbita maxima	NA	NA	Fruit somewhat flattened, 8 inches in length; rind orange red; flesh bright orange, 1.5 inches thick, of fair quality.	Asia
Afghanistan	PI_135370	No. 4929	Cucurbita maxima	NA	NA	Fruit 24 by 10 inches; rind battleship gray, shiny, faintly ribbed; flesh bright orange, of good quality, but not very sweet.	Asia
Afghanistan	PI_222188	No. 737	Cucurbita maxima	NA	NA	Fruit round, orange; flesh white.	Asia
Afghanistan	PI_135382	No. 4725	Cucurbita maxima	NA	NA	Fruit flattened, 16 by14 inches; rind orange pink, with broken blotches of green and white; flesh yellow, 2.5 inches thick, insipid.	Asia
Afghanistan	PI_135368	No. 4909	Cucurbita maxima	NA	NA	Fruit somewhat flattened, 8 inches in length; rind black green; flesh orange, 1.5 inches thick, rather insipid.	Asia
Afghanistan	PI_135373	No. 5018	Cucurbita maxima	NA	NA	Fruit 14 by 9 inches; rind black green with blotches of Chinese red; flesh orange yellow, 2 to 2.25 inches thick, fair quality.	Asia
Afghanistan	PI_135363	Mekaekidu	Cucurbita maxima	NA	NA	Fruit round enlongate, 12 inches in length; rind ash gray, marbled with pink; flesh yellowish orange, 2 inches thick, insipid.	Asia
United States	G_26704	'Blue Hubbard'	Cucurbita maxima	Cultivar	Hubbard	NA	North America
United States	CItr_5666	'Sibley'	Cucurbita maxima	Cultivar	Banana	NA	North America
United States	G_26694	'Buttercup'	Cucurbita maxima	Cultivar	Buttercup	NA	North America
United States	G_33181	'Mammoth King'	Cucurbita maxima	Cultivar	Show	Note from Jesse Reil (donor):  Seed was harvested from Mammoth King seed acquired from the late Tom Knocke's collection that originally came from Gurney's Seeds back in the late 1970's - early 1980's.  The plants produced about 2 large pumpkins per vine.  The fruit is show-type; large and standardized with an almost florescent beige color.	North America
United States	PI_92835	'Nan Kwa'	Cucurbita maxima	NA	NA	South squash	North America
United States	G_23449	Buttercup, Burgess Strain	Cucurbita maxima	Cultivar	Buttercup	NA	North America
United States	G_30147	'Mayo Blusher'	Cucurbita maxima	Cultivar	NA	Large, white to light green fruit. Round to elongated shape and blush pink when fully ripe. Apricot flesh is sweet. Good keeper.	North America
United States	G_32997	Blue Hubbard	Cucurbita maxima	Cultivar	Hubbard	Info. from Harris Co. 1959 cat. -- 110 days. Developed and grown by us, this extra lg, heavy-yielding strain is the truest most uniform stock we know. The fruit is an attrac- tive bl gray color, rough and rugged, and grows to enormous size Flesh is thick, deep yel. clr and fine flavor and texture. This is a profitable farm crop due to high demand. Good for gard. use due to heavy yield and excellent storage qualities.	North America
United States	G_26705	'Buttercup'	Cucurbita maxima	Cultivar	Buttercup	NA	North America
United States	PI_600834	'Autumn Pride'	Cucurbita maxima	Cultivar	Hubbard	NA	North America
United States	G_26544	'770 Blue Hubbard'	Cucurbita maxima	Cultivar	Hubbard	NA	North America
United States	G_32227	Golden Eagle	Cucurbita maxima	Cultivar	Buttercup	NA	North America
United States	G_32295	'Buckskin'	Cucurbita maxima	Cultivar	Processing	NA	North America
United States	PI_508084	'Sibley'	Cucurbita maxima	Cultivar	Banana	Plant indeterminate, maturity Group I, high yielding.. Flowers white, pods brown with gray pubescence. Seeds yellow, dull. Resistance to races 1 and 2 of Phytophthora root rot.	North America
United States	G_30407	'Japan Cup F1'	Cucurbita maxima	Cultivar	Kobocha	NA	North America
United States	G_32612	Crown Squash	Cucurbita maxima	Cultivated	NA	A hardy squash with wonderful flavor; germinates well and needs little care besides appropriate watering.	North America
United States	G_30409	'Sweet Mama F1'	Cucurbita maxima	Cultivar	Kobocha	NA	North America
United States	G_30406	'Delica F1'	Cucurbita maxima	Cultivar	Kuri	NA	North America
United States	G_32229	Daytona	Cucurbita maxima	Cultivar	NA	NA	North America
United States	G_30408	'Nutty Delica F1'	Cucurbita maxima	Cultivar	Kobocha	NA	North America
United States	PI_224669	Bush Buttercup	Cucurbita maxima	Cultivar	Buttercup	Selected from an unknown PI number in 1938.	North America
United States	PI_318424	Ames 715	Cucurbita maxima	Breeding	NA	Inbred selection. Vigorous, medium maturing, bush. Fruits many, oblate 5 to 6 by 7 to 8 inches, orange or salmon; 3.57 pounds; flesh 1 to 2 inches, light orange.	North America
United States	PI_318425	Ames 716	Cucurbita maxima	Breeding	NA	Inbred selection. Vigorous, medium maturing, bush. Fruits many, oblate 5 by 7 to 8 inches, orange or salmon; 4.75 pounds; flesh 1 to 2 inches, light orange.	North America
United States	PI_318426	Ames 717	Cucurbita maxima	Breeding	NA	Inbred selection. Vigorous, medium maturing, bush. Fruits many, oblate 5 by 7 to 8 inches, copper; 4.90 pounds; flesh 1 to 2 inches, orange.	North America
United States	G_22762	'Aristocat'	Cucurbita maxima	Cultivar	NA	NA	North America
