country	accession_id	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region
Guatemala	PI_451835	NA	Cucurbita moschata	Fruit star-shaped. Local name Ayote.	NA	"NA"	South/Latin America
Guatemala	PI_438579	HW 0179	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Guatemala	PI_195312	2646	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Guatemala	PI_438578	HW 0179	Cucurbita moschata	Commonly called Ayote.	NA	"NA"	South/Latin America
Guatemala	PI_312125	AYOTE	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Guatemala	PI_449348	NA	Cucurbita moschata	Local name Ixchilcum.	NA	"NA"	South/Latin America
Guatemala	PI_449349	NA	Cucurbita moschata	Local name Pepita.	NA	"NA"	South/Latin America
Guatemala	PI_451839	NA	Cucurbita moschata	Fruit figure 8-shaped with upper half ribbed. Local name Ayote.	NA	"NA"	South/Latin America
Guatemala	PI_451846	NA	Cucurbita moschata	Fruit small, round. Local name Ayote.	NA	"NA"	South/Latin America
Guatemala	PI_194570	2543	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Guatemala	PI_489695	K801-30	Cucurbita moschata	Fruits large, bottle-gourd shape, dark tan with few spots, 1.6kg. Local name Ayote.	NA	Cultivated material	South/Latin America
Guatemala	PI_197154	AYOTE	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
Guatemala	PI_458746	M 27172	Cucurbita moschata	Fruit 2.6kg, whitish, shaped like acorn squash. Received as Cucurbita sp.  Local name Ayote.	NA	"NA"	South/Latin America
Guatemala	Grif_14225	Grif 14225	Cucurbita moschata	"NA"	NA	Cultivated material	South/Latin America
Guatemala	PI_489694	K801-27	Cucurbita moschata	Warm, humid area. Fruits large, round, cream colored. Flesh about 3cm thick, dark orange. Seeds with deep brown margin. Local name Ayote.	NA	Cultivated material	South/Latin America
Guatemala	PI_451845	NA	Cucurbita moschata	Fruit pear-shaped. Local name Ayote.	NA	"NA"	South/Latin America
Guatemala	PI_458745	M 27171	Cucurbita moschata	Fruit 2.8kg, long. Received as Cucurbita sp. Local name Ayote.	NA	"NA"	South/Latin America
Guatemala	PI_451841	NA	Cucurbita moschata	Fruit crook-neck shaped. Local name Ayote.	NA	"NA"	South/Latin America
Guatemala	PI_451848	NA	Cucurbita moschata	Local name Ayote.	NA	"NA"	South/Latin America
Guatemala	PI_200737	3512	Cucurbita moschata	"NA"	NA	"NA"	South/Latin America
India	PI_381808	P-5	Cucurbita moschata	"NA"	NA	"NA"	Asia
India	PI_174819	KADU	Cucurbita moschata	fruit flattened, 12 by 15in, buff with paler spots, deeply ribbed	NA	"NA"	Asia
India	PI_164168	KADU	Cucurbita moschata	Good keeper, but flesh of poor quality	NA	"NA"	Asia
India	PI_164312	PUSHNIKAI	Cucurbita moschata	"NA"	NA	"NA"	Asia
India	PI_271345	Indor	Cucurbita moschata	Received as Cucurbita maxima.	NA	"NA"	Asia
India	Grif_5606	USM 298	Cucurbita moschata	"NA"	NA	"NA"	Asia
India	PI_163230	Kadu	Cucurbita moschata	"NA"	NA	"NA"	Asia
India	Grif_14488	CP-99-02	Cucurbita moschata	"NA"	NA	Uncertain improvement status	Asia
India	PI_271341	NA	Cucurbita moschata	"NA"	NA	"NA"	Asia
India	PI_381807	P-4	Cucurbita moschata	"NA"	NA	"NA"	Asia
India	PI_381818	P-22	Cucurbita moschata	"NA"	NA	"NA"	Asia
India	PI_165575	KADU	Cucurbita moschata	Fruit flattened, 15in across, heavily ribbed, pale-buff	NA	"NA"	Asia
India	PI_214156	KUMBALKA 13453	Cucurbita moschata	Yellow, ribbed, oblate medium-sized; cooked and eaten as a vegetable	NA	"NA"	Asia
India	PI_174817	KADU	Cucurbita moschata	Fruit buff, spotted with white	NA	"NA"	Asia
India	PI_174818	9865	Cucurbita moschata	Fruit subelongate, 15 by 12in, buff, deeply ribbed	NA	"NA"	Asia
India	PI_381812	P-11	Cucurbita moschata	"NA"	NA	"NA"	Asia
India	PI_271338	Indor	Cucurbita moschata	"NA"	NA	"NA"	Asia
