name,class
PI_615115,Scallop
NSL_98131,Acorn
PI_615114,Scallop
NSL_98075,Acorn
PI_595838,Crook
PI_615110,Pumpkin
PI_615111,Acorn
PI_601144,Pumpkin
PI_601193,Acorn
PI_302418,Pumpkin
NSL_180768,Crook
PI_600995,Pumpkin
PI_599994,Zucchini
PI_600771,Acorn
NSL_104548,Pumpkin
PI_597784,Gem
PI_615106,Pumpkin
PI_169431,Marrow
PI_192941,Spaghetti
PI_442792,Gem
PI_232072,Gem
PI_299575,Gem
PI_234614,Gem
PI_615095,Gem
PI_364240,Marrow
PI_531323,Marrow
PI_381323,Spaghetti
PI_385969,Zucchini
PI_385970,Zucchini
PI_508469,Zucchini
PI_508468,Zucchini
PI_508465,Zucchini
