country	accession_id	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region
Mexico	PI_442313	Calabaza de India	Cucurbita pepo	Fruits white with green stripes, creamy white at maturity, flattened-round, 13 cm long, 16cm diam.	NA	Landrace	South/Latin America
Mexico	PI_438696	WC 2412	Cucurbita pepo	Seeds tan. Received as Cucurbita ficifolia.	NA	Landrace	South/Latin America
Mexico	PI_438699	WC 2072	Cucurbita pepo	Fruit oblate, slightly ribbed, dull yellow and green, rind hard, flesh orange. Received as Cucurbita mixta.	NA	Landrace	South/Latin America
Mexico	Ames_21644	TWW 165	Cucurbita pepo	Two pollinations split into 2 seed lots probably based on fruit type.	NA	Cultivated material	South/Latin America
Mexico	PI_442311	Calabaza de India	Cucurbita pepo	Fruits light green-mottled, creamy white at maturity, oval, 30cm long, 17cm diam.	NA	Landrace	South/Latin America
Mexico	PI_318826	22068	Cucurbita pepo	Cultivated by the Tarahumara Indians.	NA	Landrace	South/Latin America
Mexico	PI_438717	Huiche	Cucurbita pepo	Seeds long, slender, tan. Received as Cucuribta mixta.	NA	Landrace	South/Latin America
Mexico	PI_438700	WC 2122	Cucurbita pepo	Received as Cucurbita mixta.	NA	Landrace	South/Latin America
Mexico	PI_442316	Calabaza de India	Cucurbita pepo	Fruits dark green, some mottling, cylindrical, 24cm long, 15cm diam.	NA	Landrace	South/Latin America
Mexico	PI_442260	Calabaza de Castilla	Cucurbita pepo	Fruits dark green, tan to maturity, inverted bell-shape, 30cm long, 23cm diam.  Rind 1 mm thick. Flesh lemon yellow. Received as C. moschata.	NA	Landrace	South/Latin America
Mexico	PI_442291	Calabaza	Cucurbita pepo	"NA"	NA	Landrace	South/Latin America
Mexico	PI_438822	Calabasa Chica	Cucurbita pepo	"NA"	NA	Landrace	South/Latin America
Mexico	PI_442293	Calabasa de India	Cucurbita pepo	Fruits green, light green spotted, cylindrical, 26cm long, 19cm diam. Rind 1 mm  thick. Flesh yellowish-white.	NA	Landrace	South/Latin America
Mexico	PI_442294	Calabasa de India	Cucurbita pepo	Fruits dark green, light green stripes, cylindrical, 26cm long, 13cm diam.	NA	Landrace	South/Latin America
Mexico	PI_442295	Calabaza de India	Cucurbita pepo	Fruits green, light green mottled, round-flattened shape, 12cm long, 19cm diam.  Rind 2mm thick. Flesh lemon yellow.	NA	Landrace	South/Latin America
Mexico	PI_442296	Calabaza de India	Cucurbita pepo	Fruits light green, white spots, yellow at maturity, round-cylindrical, 18cm long, 13cm diam. Rind 2mm thick. Flesh lemon yellow.	NA	Landrace	South/Latin America
Mexico	PI_197671	Ovifera-type	Cucurbita pepo	A climbing vine; fruits varying from globose to ellipsoid, streaked green and yellow, 7.5 cm in diameter. Received as Cucurbita pepo var. ovifera.	NA	Wild material	South/Latin America
Mexico	PI_442298	Calabaza de India	Cucurbita pepo	Fruits solid white, round-flattened, 16cm long, 20cm diam. Flesh lemon yellow.  Center hollow, triangular. Seeds frequently sterile or germinating prematurely.	NA	Landrace	South/Latin America
Mexico	PI_442299	Calabaza de India	Cucurbita pepo	Fruits yellowish, dark green stripes, turban-shaped, 20cm long, 17cm diam. Rind  4mm thick. Flesh orange-yellow. Strong pumpkin odor.	NA	Landrace	South/Latin America
Mexico	PI_442300	Calabaza de India	Cucurbita pepo	Fruits light green, dark green stripes, lemon yellow at maturity, round-elongate, 19cm long, 8cm diam. Rind 4mm thick. Flesh lemon yellow. Unpleasant aroma.	NA	Landrace	South/Latin America
Mexico	PI_442304	Calabaza de India	Cucurbita pepo	Fruits light green, orange at maturity, almost round,  14cm long, 20cm diam. Rind 1.5mm thick. Flesh lemon yellow.	NA	Landrace	South/Latin America
Mexico	PI_442305	Calabaza de India	Cucurbita pepo	Fruits white, round, 13cm long, 10cm diam. Rind 2mm thick. Flesh greenish-white.	NA	Landrace	South/Latin America
Mexico	PI_442306	Calabaza de India	Cucurbita pepo	Fruits smooth, greenish, dark green stripes,  yellow at maturity, round-oblong, 19cm long, 17cm diam. Rind 2mm. Placenta solid. Flesh orange-yellow.	NA	Landrace	South/Latin America
Mexico	PI_442307	Calabaza de India	Cucurbita pepo	Vine. Fruits dark green, probably immature, cylindrical, 19cm long, 16cm diam. Rind 3cm thick. Placenta solid. Flesh lemon-yellow. Seeds immature.	NA	Landrace	South/Latin America
