accession_id,len,set,diam,watermelon_mosaic,cuc_mosaic,maturity,unif,pm,plant_habit,vig,or_flesh,rib,fruit_spot,gray_fruit,or_fruit,gn_fruit
PI_92835,19,6,25,8,NA,40,7,7,1,7,0,8,8,NA,NA,NA
PI_93034,32,7,33,7,NA,39,7,4,1,7,0,7,7,NA,NA,NA
PI_93801,15,6,20,NA,NA,35,7,NA,1,7,1,2,4,NA,NA,NA
PI_109277,21,6,20,NA,NA,35,6,NA,1,6,0,2,3,NA,NA,NA
PI_120440,17,4,25,NA,NA,37,5,NA,1,7,1,3,6,NA,NA,NA
PI_121910,25,7,35,3,NA,38,7,4,1,5,0,4,2,0,1,0
PI_121912,33,9,24,9,NA,43,7,6,1,6,0,2,8,NA,NA,NA
PI_121913,25,6,20,3,NA,38,7,7,1,7,0,3,7,NA,NA,NA
PI_121915,45,8,26,6,NA,36,7,7,1,8,0,3,5,1,0,0
PI_135351,25,6,30,7,2,42,7,8,1,7,NA,2,4,0,0,1
PI_135352,23,4,31,6,NA,41,8,8,1,7,0,6,2,1,0,0
PI_135353,18,3,25,9,NA,67,8,5,1,5,NA,2,3,NA,NA,NA
PI_135355,27,8,32,2,NA,50,5,5,1,9,0,2,3,NA,NA,NA
PI_135356,9,9,10,7,NA,49,5,8,1,7,NA,2,8,NA,NA,NA
PI_135358,29,9,32,5,NA,48,4,7,1,7,0,1,4,NA,NA,NA
PI_135363,25,NA,25,NA,NA,NA,NA,9,1,9,0,NA,NA,1,0,0
PI_135365,16,5,23,7,NA,32,7,9,1,5,0,5,6,0,1,0
PI_135368,22,7,32,2,NA,39,5,7,1,8,0,6,4,NA,NA,NA
PI_135370,15,1,20,NA,NA,NA,5,7,1,5,0,4,NA,NA,NA,NA
PI_135373,NA,6,NA,2,NA,47,8,7,1,7,0,3,7,NA,NA,NA
PI_135382,25,6,28,2,NA,50,8,NA,1,7,0,7,2,0,1,0
PI_135387,22,2,20,9,NA,67,7,4,1,6,NA,3,6,0,0,1
PI_135396,27,4,38,5,2,49,7,5,1,9,0,4,2,1,0,0
PI_135889,26,7,30,9,NA,67,8,8,1,8,0,4,1,0,0,0
PI_135892,22,5,40,7,NA,59,8,6,1,8,0,8,1,0,1,0
PI_135893,36,3,38,9,NA,47,7,3,1,8,0,3,1,0,1,0
PI_136444,23,7,28,NA,NA,27,4,NA,1,6,0,3,1,NA,NA,NA
PI_136445,14,6,21,NA,NA,27,5,NA,1,6,0,2,3,0,1,0
