accession_id	fruit_shape	len	diam	maturity	fruit_color	fruit_surf
PI_634692	4 – ROUND	34	34	8 – LATE	7 – TAN	9 – FURROWED
Grif_1583	5 – OBLATE	17	20	NA	5 – GREEN STRIPED	1 – SMOOTH
PI_634695	2 – ELONGATE; 1 – OBLONG	31; 28	12; 17	8 – LATE	1 – ORANGE; 2 – YELLOW	1 – SMOOTH
Grif_1738	5 – OBLATE	14	28	NA	8 – WHITE	9 – FURROWED
Grif_5603	7 – VARIABLE	26	25	NA	5 – GREEN STRIPED	M – MIXED
PI_604505	NA	38	22	5 – MIDSEASON	4 – GRAY STRIPED	NA
PI_604506	NA	10	28	1 – EARLY	4 – GRAY STRIPED	NA
Grif_9457	NA	NA	NA	NA	NA	NA
PI_634696	2 – ELONGATE	26	22	8 – LATE	1 – ORANGE	1 – SMOOTH
PI_634698	5 – OBLATE	22	22	8 – LATE	2 – YELLOW	9 – FURROWED
PI_634699	7 – VARIABLE	22	28	8 – LATE	9 – VARIABLE	M – MIXED
PI_634700	6 – OVAL	42	41	8 – LATE	5 – GREEN STRIPED	9 – FURROWED
PI_634701	1 – OBLONG	22	23	8 – LATE	1 – ORANGE	1 – SMOOTH
PI_634702	1 – OBLONG	18	17	8 – LATE	5 – GREEN STRIPED	1 – SMOOTH
PI_634703	7 – VARIABLE	19	19	8 – LATE	9 – VARIABLE	9 – FURROWED
PI_135371	3 – NECKED	36	20	1 – EARLY	1 – ORANGE	1 – SMOOTH
PI_164168	OG – OBLONG	NA	NA	NA	NA	NA
PI_164312	1 – OBLONG	60	38	5 – MIDSEASON	1 – ORANGE	9 – FURROWED
PI_165033	1 – OBLONG	60	38	5 – MIDSEASON	1 – ORANGE	9 – FURROWED
PI_165561	OT – OBLATE	NA	NA	NA	NA	NA
PI_165575	6 – OVAL	60	50	1 – EARLY	1 – ORANGE	9 – FURROWED
PI_165995	6 – OVAL	25	20	5 – MIDSEASON	1 – ORANGE	9 – FURROWED
PI_169413	GL – GLOBE	NA	NA	NA	NA	NA
PI_169441	3 – NECKED	NA	NA	5 – MIDSEASON	5 – GREEN STRIPED	1 – SMOOTH
PI_172344	5 – OBLATE	25	40	8 – LATE	1 – ORANGE	9 – FURROWED
PI_174194	1 – OBLONG; CN – CROOKNECK	30	20	1 – EARLY	1 – ORANGE	9 – FURROWED
PI_174817	3 – NECKED	40	25	5 – MIDSEASON	1 – ORANGE	9 – FURROWED
PI_174818	1 – OBLONG	25	15	8 – LATE	1 – ORANGE	1 – SMOOTH
PI_174819	5 – OBLATE	25	30	5 – MIDSEASON	1 – ORANGE	9 – FURROWED
PI_183258	6 – OVAL	30	25	5 – MIDSEASON	1 – ORANGE	1 – SMOOTH
PI_194570	1 – OBLONG	36	20	8 – LATE	1 – ORANGE	1 – SMOOTH
PI_195312	5 – OBLATE	20	25	8 – LATE	1 – ORANGE	9 – FURROWED
PI_197154	4 – ROUND	15	15	8 – LATE	1 – ORANGE	9 – FURROWED
PI_200737	7 – VARIABLE	NA	NA	8 – LATE	9 – VARIABLE	NA
PI_200822	5 – OBLATE	15	20	8 – LATE	1 – ORANGE	1 – SMOOTH
PI_200823	5 – OBLATE	25	38	1 – EARLY	1 – ORANGE	9 – FURROWED
PI_201772	5 – OBLATE	17	20	5 – MIDSEASON	1 – ORANGE	9 – FURROWED
PI_211993	5 – OBLATE	25	30	5 – MIDSEASON	1 – ORANGE	1 – SMOOTH
PI_211999	5 – OBLATE	15	25	5 – MIDSEASON	1 – ORANGE	1 – SMOOTH
PI_212011	4 – ROUND	NA	NA	8 – LATE	1 – ORANGE	9 – FURROWED
PI_214156	2 – ELONGATE	NA	NA	5 – MIDSEASON	1 – ORANGE	9 – FURROWED
PI_222760	3 – NECKED	36	20	1 – EARLY	1 – ORANGE	1 – SMOOTH
PI_262890	5 – OBLATE	20	36	5 – MIDSEASON	1 – ORANGE	9 – FURROWED
PI_267752	3 – NECKED	NA	NA	5 – MIDSEASON	5 – GREEN STRIPED	1 – SMOOTH
PI_267753	7 – VARIABLE	NA	NA	5 – MIDSEASON	9 – VARIABLE	NA
PI_271338	7 – VARIABLE	NA	NA	5 – MIDSEASON	9 – VARIABLE	1 – SMOOTH
PI_271341	7 – VARIABLE	NA	NA	5 – MIDSEASON	1 – ORANGE	1 – SMOOTH
PI_312125	3 – NECKED	38	8	8 – LATE	9 – VARIABLE	1 – SMOOTH
PI_312165	7 – VARIABLE	24	16	5 – MIDSEASON	7 – TAN	1 – SMOOTH
PI_358507	CN – CROOKNECK	NA	NA	NA	NA	NA
PI_406848	3 – NECKED	33	22	5 – MIDSEASON	NA	9 – FURROWED
PI_427212	1 – OBLONG	31	19	NA	1 – ORANGE	1 – SMOOTH
PI_438548	2 – ELONGATE	25	13	8 – LATE	1 – ORANGE	1 – SMOOTH
PI_438549	3 – NECKED	50	16	8 – LATE	1 – ORANGE	1 – SMOOTH
PI_438551	1 – OBLONG	40	20	8 – LATE	1 – ORANGE	9 – FURROWED
PI_438553	6 – OVAL	17	16	8 – LATE	1 – ORANGE	NA
PI_438723	7 – VARIABLE	6	22	5 – MIDSEASON	7 – TAN	9 – FURROWED
PI_438739	7 – VARIABLE	13	18	8 – LATE	1 – ORANGE	9 – FURROWED
PI_438741	5 – OBLATE	19	15	5 – MIDSEASON	1 – ORANGE	9 – FURROWED
PI_438750	7 – VARIABLE	18	13	5 – MIDSEASON	7 – TAN	9 – FURROWED
PI_438751	3 – NECKED	31	18	5 – MIDSEASON	5 – GREEN STRIPED	1 – SMOOTH
PI_438753	5 – OBLATE	10	18	5 – MIDSEASON	9 – VARIABLE	9 – FURROWED
PI_438758	3 – NECKED	31	14	8 – LATE	5 – GREEN STRIPED	9 – FURROWED
PI_438759	4 – ROUND	16	20	5 – MIDSEASON	9 – VARIABLE	9 – FURROWED
PI_438767	7 – VARIABLE	15	18	8 – LATE	1 – ORANGE	9 – FURROWED
PI_438777	5 – OBLATE	22	28	NA	7 – TAN	9 – FURROWED
PI_438780	3 – NECKED	20	20	8 – LATE	7 – TAN	9 – FURROWED
PI_438786	7 – VARIABLE	26	15	8 – LATE	6 – GREEN	9 – FURROWED
PI_438796	7 – VARIABLE	22	30	5 – MIDSEASON	6 – GREEN	9 – FURROWED
PI_438798	2 – ELONGATE	42	12	NA	5 – GREEN STRIPED	9 – FURROWED
PI_438799	8 – ACORN	24	24	NA	6 – GREEN	9 – FURROWED
PI_438815	5 – OBLATE	8	18	NA	3 – GRAY	9 – FURROWED
PI_438827	7 – VARIABLE	20	25	8 – LATE	7 – TAN	9 – FURROWED
PI_441723	8 – ACORN	26	26	NA	6 – GREEN	9 – FURROWED
PI_441725	2 – ELONGATE	26	18	NA	7 – TAN	9 – FURROWED
PI_441726	6 – OVAL	14	13	8 – LATE	NA	1 – SMOOTH
PI_442258	7 – VARIABLE	14	18	8 – LATE	6 – GREEN	9 – FURROWED
PI_449345	9 – PEAR	24	14	NA	6 – GREEN	9 – FURROWED
PI_449346	7 – VARIABLE	22	16	8 – LATE	6 – GREEN	9 – FURROWED
PI_449348	7 – VARIABLE	40	12	NA	6 – GREEN	9 – FURROWED
PI_458650	NA	30	24	NA	5 – GREEN	NA
PI_458728	6 – OVAL	24	22	NA	6 – GREEN	9 – FURROWED
PI_482487	4 – ROUND	17	18	1 – EARLY	5 – GREEN STRIPED	9 – FURROWED
PI_482488	5 – OBLATE	12	16	1 – EARLY	1 – ORANGE	9 – FURROWED
PI_482491	7 – VARIABLE	NA	NA	1 – EARLY	5 – GREEN STRIPED	1 – SMOOTH
PI_482492	7 – VARIABLE	NA	NA	1 – EARLY	9 – VARIABLE	1 – SMOOTH
PI_482493	6 – OVAL	NA	NA	5 – MIDSEASON	5 – GREEN STRIPED	1 – SMOOTH
