accession_id	100wt	100wt2	flesh_color	fruit_shape	fruit_txt	min_vig	max_width	sqush_nymph	cuc_inj	flesh_max	len_min	width_min	len_max	squash_adult	fruit_pat	fruit_color	plant_type	max_vig	flesh_min
PI_615086	NA	6.79	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI_615087	8.07; 6.41; 6.26	6.26; 6.41; 8.07	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI_615088	10.24; 16.34; 16.07	10.24; 16.07; 16.34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI_615089	10.93; 12.28; 10.37	10.37; 10.93; 12; 12.28	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI_615091	16; 18	16; 18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI_615092	12.56; 9.52	9.52; 12.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI_615093	6.84; 5.53	5.53; 6.84	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI_615094	15.24; 14	14; 15.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI_615095	5.12; 4.35	4.35; 5.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI_615096	15.65; 13.2; 15.76	13.2; 15.65; 15.76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI_615097	16.8; 12; 11; 10.88; 14.01	10.88; 11; 12; 14.01; 16.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI_615098	7.24; 6.98	6.98; 7.24	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PI_615099	20.18; 15.32; 12.06; 18.33; 16.34	12.06; 15.32; 16.34; 18.33; 20.18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
