ACCESSION	FLESH COLOR	WATERMELON MOSAIC	DAYS TO POLLINATION	FLESH DEPTH	FRUIT DIAMETER	FRUIT LENGTH	FRUIT SET	PLANT HABIT	POWDERY MILDEW	FRUIT RIBBING	UNIFORMITY	FRUIT SPOTTING	PLANT VIGOR	FRUIT COLOR	CUCUMBER MOSAIC VIRUS	FRUIT SURFACE COLOR	FRUIT SKIN TEXTURE	MAXIMUM PLANT VIGOR	CUCUMBER BEETLE INJURY	MINIMUM PLANT VIGOR	FRUIT LENGTH MAXIMUM	SQUASHBUG NYMPH	PLANT TYPE	FLESH THICKNESS MAXIMUM	SQUASHBUG ADULT	FRUIT SHAPE	FRUIT WIDTH MAXIMUM	FRUIT SURFACE PATTERN	FRUIT LENGTH MINIMUM	FRUIT WIDTH MINIMUM	100 SEED WEIGHT	WEIGHT OF 100 SEEDS	VINE-LENGTH	FRUIT SURFACE	MATURITY	FLESH THICKNESS MINIMUM
G 19084	2 – YELLOW-ORANGE																																			
G 23160	5 – DARK ORANGE																																			
PI 92829	2 – YELLOW-ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	32	3	17	39	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)																							
PI 92835	4 – MEDIUM ORANGE	8 – (1 = SLIGHT,  9 = SEVERE)	40	4	25	19	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 93034	4 – MEDIUM ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	39	4.5	33	32	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 93801	5 – DARK ORANGE		35	1.6	20	15	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 109277	4 – MEDIUM ORANGE		35	2.4	20	21	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		2 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)																							
PI 120440	5 – DARK ORANGE		37	3.1	25	17	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		3 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 121910	3 – PALE ORANGE	3 – (1 = SLIGHT,  9 = SEVERE)	38	3	35	25	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 121912	3 – PALE ORANGE	9 – SEVERE	43	3	24	33	9 – EXCELLENT	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)																							
PI 121913	1 – YELLOW	3 – (1 = SLIGHT,  9 = SEVERE)	38	2	20	25	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 121915	3 – PALE ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	36	3.2	26	45	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 135351		7 – (1 = SLIGHT,  9 = SEVERE)	42	4	30	25	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 135352	3 – PALE ORANGE	6 – (1 = SLIGHT,  9 = SEVERE)	41	3.7	31	23	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	1 – GRAY																						
PI 135353		9 – SEVERE	67	3.2	25	18	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)																							
PI 135355	4 – MEDIUM ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	50	2.5	32	27	8 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT																							
PI 135356		7 – (1 = SLIGHT,  9 = SEVERE)	49	3.5	10	9	9 – EXCELLENT	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 135358	2 – YELLOW-ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	48	4	32	29	9 – EXCELLENT	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	1 – SLIGHT	4 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 135363	4 – MEDIUM ORANGE			3.2	25	25		2 – VINE	9 – SEVERE				9 – EXCELLENT	1 – GRAY																						
PI 135365	2 – YELLOW-ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	32	3	23	16	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	9 – SEVERE	5 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 135368	2 – YELLOW-ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	39	3	32	22	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)																							
PI 135370	4 – MEDIUM ORANGE			3.8	20	15	1 – POOR	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)		5 – (1 = POOR,  9 = EXCELLENT)																							
PI 135373	4 – MEDIUM ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	47	3.8			6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	7 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)																							
PI 135382	4 – MEDIUM ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	50	3.5	28	25	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		7 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 135387		9 – SEVERE	67	3	20	22	2 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	4 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	6 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	5 – GREEN																						
PI 135396	4 – MEDIUM ORANGE	5 – (1 = SLIGHT,  9 = SEVERE)	49	3.8	38	27	4 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	5 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	2 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT	1 – GRAY	2 – (1 = SLIGHT,  9 = SEVERE)																					
PI 135889	1 – YELLOW	9 – SEVERE	67	3.2	30	26	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	8 – (1 = SLIGHT,  9 = SEVERE)	4 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)	2 – WHITE																						
PI 135891	2 – YELLOW-ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	48	6.5	45	40	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	5 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT); 5 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT); 7 – (1 = POOR,  9 = EXCELLENT)																							
PI 135892	3 – PALE ORANGE	7 – (1 = SLIGHT,  9 = SEVERE)	59	6	40	22	5 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	6 – (1 = SLIGHT,  9 = SEVERE)	8 – (1 = SLIGHT,  9 = PRONOUNCED)	8 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 135893	2 – YELLOW-ORANGE	9 – SEVERE	47	4.5	38	36	3 – (1 = POOR,  9 = EXCELLENT)	2 – VINE	3 – (1 = SLIGHT,  9 = SEVERE)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	7 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	8 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 135894	4 – MEDIUM ORANGE	2 – (1 = SLIGHT,  9 = SEVERE)	48	3.3	45	22	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		4 – (1 = SLIGHT,  9 = PRONOUNCED)	9 – EXCELLENT	5 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	4 – TAN																						
PI 136444	2 – YELLOW-ORANGE		27	2.5	28	23	7 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		3 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)	1 – SLIGHT	6 – (1 = POOR,  9 = EXCELLENT)																							
PI 136445	3 – PALE ORANGE		27	2.1	21	14	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	3 – (1 = SLIGHT,  9 = PRONOUNCED)	6 – (1 = POOR,  9 = EXCELLENT)	3 – ORANGE																						
PI 136446	2 – YELLOW-ORANGE		32	2.5	30	28	6 – (1 = POOR,  9 = EXCELLENT)	2 – VINE		2 – (1 = SLIGHT,  9 = PRONOUNCED)	5 – (1 = POOR,  9 = EXCELLENT)	7 – (1 = SLIGHT,  9 = PRONOUNCED)	4 – (1 = POOR,  9 = EXCELLENT)																							
