ACCESSION	GROWTH HABIT	PLANT UNIFORMITY	PLANT VIGOR	FRUIT SHAPE	FRUIT LENGTH	FRUIT WEIGHT	FLESH DEPTH	FRUIT DIAMETER	MATURITY	FLESH COLOR	FRUIT SPOTTING	FRUIT SET	FRUIT COLOR	FRUIT SURFACE	UNIFORMITY OF FRUIT SIZE	UNIFORMITY OF FRUIT COLOR	UNIFORMITY OF FRUIT SHAPE	UNIFORMITY OF FRUIT SURFACE	VINE-LENGTH	SEED CAVITY COLOR	RIND STRIPE COLOR	POWDERY MILDEW	WEIGHT OF 100 SEEDS	100 SEED WEIGHT	FRUIT RIBBING	UNIFORMITY	PLANT HABIT	DAYS TO POLLINATION	FRUIT SURFACE COLOR	FRUIT SURFACE PATTERN	PLANT TYPE	FRUIT SKIN TEXTURE	CUCUMBER BEETLE INJURY	MINIMUM PLANT VIGOR	MAXIMUM PLANT VIGOR	FRUIT WIDTH MINIMUM	FLESH THICKNESS MAXIMUM	SQUASHBUG ADULT	SQUASHBUG NYMPH	FRUIT WIDTH MAXIMUM	FRUIT LENGTH MAXIMUM	FRUIT LENGTH MINIMUM	DOWNY MILDEW	FLESH THICKNESS MINIMUM	WATERMELON MOSAIC
PI 634692	2 – VINE	1 – POOR	8 – (1 = POOR, 9 = EXCELLENT)	4 – ROUND	34	11.8	9	34	8 – LATE	4 – MEDIUM ORANGE	2 – (1 = SLIGHT, 9 = PRONOUNCED)	1 – POOR	7 – TAN	9 – FURROWED																															
PI 634693	2 – VINE	1 – POOR	3 – (1 = POOR, 9 = EXCELLENT)	5 – OBLATE	30	8.3		22	8 – LATE	4 – MEDIUM ORANGE	1 – SLIGHT	1 – POOR	7 – TAN	9 – FURROWED																															
PI 634694	2 – VINE	1 – POOR	2 – (1 = POOR, 9 = EXCELLENT)	2 – ELONGATE	36	2.7	3.5	14	8 – LATE	3 – PALE ORANGE	1 – SLIGHT	2 – (1 = POOR, 9 = EXCELLENT)	7 – TAN	1 – SMOOTH																															
Grif 1583	2 – VINE		1 – POOR	5 – OBLATE	17	1.5	4	20		3 – PALE ORANGE	1 – SLIGHT	8 – (1 = POOR, 9 = EXCELLENT)	5 – GREEN STRIPED	1 – SMOOTH	2 – SOMEWHAT UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM																											
PI 634695	1 – BUSH; 2 – VINE	1 – POOR	5 – (1 = POOR, 9 = EXCELLENT); 2 – (1 = POOR, 9 = EXCELLENT)	2 – ELONGATE; 1 – OBLONG	31; 28	1.8	3; 3.5	12; 17	8 – LATE	3 – PALE ORANGE; 2 – YELLOW-ORANGE	1 – SLIGHT; 2 – (1 = SLIGHT, 9 = PRONOUNCED)	1 – POOR; 2 – (1 = POOR, 9 = EXCELLENT)	1 – ORANGE; 2 – YELLOW	1 – SMOOTH	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM	1 – VERY UNIFORM																											
PI 653840	2 – VINE	2 – (1 = POOR, 9 = EXCELLENT)	2 – (1 = POOR, 9 = EXCELLENT)	4 – ROUND	10	0.4	1.2	9	5 – MIDSEASON	1 – YELLOW		3 – (1 = POOR, 9 = EXCELLENT)	5 – GREEN STRIPED	1 – SMOOTH	3 – VARIABLE	1 – VERY UNIFORM	3 – VARIABLE	3 – VARIABLE	7	3 – YELLOW/ORANGE	5 – YELLOW																								
Grif 1738	2 – VINE		9 – EXCELLENT	5 – OBLATE	14	3.8	4.5	28		2 – YELLOW-ORANGE	1 – SLIGHT	5 – (1 = POOR, 9 = EXCELLENT)	8 – WHITE	9 – FURROWED	1 – VERY UNIFORM	1 – VERY UNIFORM	2 – SOMEWHAT UNIFORM	1 – VERY UNIFORM																											
Grif 5603	2 – VINE		6 – (1 = POOR, 9 = EXCELLENT)	7 – VARIABLE	26	8.7	4	25		M – MIXED	7 – (1 = SLIGHT, 9 = PRONOUNCED)	6 – (1 = POOR, 9 = EXCELLENT)	5 – GREEN STRIPED	M – MIXED	2 – SOMEWHAT UNIFORM	2 – SOMEWHAT UNIFORM	3 – VARIABLE	2 – SOMEWHAT UNIFORM																											
PI 604505	2 – VINE	7 – (1 = POOR, 9 = EXCELLENT)	9 – EXCELLENT		38	8	5	22	5 – MIDSEASON	5 – DARK ORANGE	1 – SLIGHT	7 – (1 = POOR, 9 = EXCELLENT)	4 – GRAY STRIPED																																
PI 604506	2 – VINE	9 – EXCELLENT	9 – EXCELLENT		10	5	4	28	1 – EARLY	4 – MEDIUM ORANGE	1 – SLIGHT	9 – EXCELLENT	4 – GRAY STRIPED																																
