ACCESSION	100 SEEDWEIGHT                            	WEIGHOF100SEEDS	FLESHCOLOR	FRUITSHAPE	FRUITSKINTEXTURE	MINIMUMPLANTVIGOR	FRUITWIDTHMAXIMUM	SQUASHBUGNYMPH	CUCUMBERBEETLEINJURY	FLESHTHICKNESSMAXIMUM	FRUITLENGTHMINIMUM	FRUITWIDTHMINIMUM	FRUITLENGTHMAXIMUM	SQUASHBUGADULT	FRUITSURFACEPATTERN	FRUITSURFACECOLOR	PLANTTYPE	MAXIMUMPLANTVIGOR	FLESHTHICKNESSMINIMUM
PI 615086		6.79																	
PI 615087	8.07; 6.41; 6.26	6.26; 6.41; 8.07																	
PI 615088	10.24; 16.34; 16.07	10.24; 16.07; 16.34																	
PI 615089	10.93; 12.28; 10.37	10.37; 10.93; 12; 12.28																	
PI 615090	12.26; 16; 14.19	12.26; 14.19; 16																	
PI 615091	16; 18	16; 18																	
PI 615092	12.56; 9.52	9.52; 12.56																	
PI 615093	6.84; 5.53	5.53; 6.84																	
PI 615094	15.24; 14	14; 15.24																	
PI 615095	5.12; 4.35	4.35; 5.12																	
Ames 4733	14.08	14.08																	
PI 615096	15.65; 13.2; 15.76	13.2; 15.65; 15.76																	
PI 615097	16.8; 12; 11; 10.88; 14.01	10.88; 11; 12; 14.01; 16.8																	
PI 615098	7.24; 6.98	6.98; 7.24																	
PI 615099	20.18; 15.32; 12.06; 18.33; 16.34	12.06; 15.32; 16.34; 18.33; 20.18																	
Ames 4738	8.48; 12.46	8.48; 12.46																	
PI 615100	14.93; 12.14; 13.5	12.14; 13.5; 14.93; 15.25																	
Ames 4740	10.76; 9.58	9.58; 10.76																	
PI 615101	13.79; 21.74; 13.47	13.47; 13.79; 21.74																	
PI 615102	11.03; 10	10; 11.03																	
PI 615103	12.62; 16.8; 13.7	12.62; 13.7; 16.8																	
PI 615104	18.4; 15	15; 17.67; 18.4																	
PI 615105	10.28; 9.25; 9.04; 7	7; 9.04; 9.25; 10; 10.19; 10.28																	
