,Iteration,Sample_name,Coverage,Difference
1,1,PI_288239,33.4271049254763,33.4271049254763
2,2,PI_438548,49.1683940381009,15.7412891126246
3,3,PI_511954,59.6017175007403,10.4333234626394
4,4,PI_458746,66.220017767249,6.61830026650873
5,5,PI_653064,71.4588885598658,5.23887079261675
6,6,PI_438708,75.315862205113,3.85697364524722
7,7,PI_438724,78.0475767446451,2.73171453953213
8,8,PI_438579,80.3548514460567,2.30727470141156
9,9,PI_482487,82.3043134932386,1.94946204718187
10,10,PI_442267,83.8342710492548,1.52995755601616
11,11,Fairytale,85.1717500740302,1.3374790247754
12,12,PI_438553,86.334024281907,1.16227420787682
13,13,PI_574552,87.3482380811371,1.01421379923009
14,14,PI_438828,88.2637449412694,0.915506860132268
15,15,PI_560946,89.0632711479617,0.799526206692306
16,16,PI_438578,89.8134438851051,0.750172737143416
17,17,Chirimen,90.4797157240154,0.666271838910291
18,18,Seminole,91.0842957259895,0.604580001974128
19,19,PI_381818,91.6099101766854,0.525614450695912
20,20,PI_438723,92.1133155660843,0.503405389398893
21,21,PI_442257,92.5673674859343,0.45405191984996
22,22,PI_369346,92.9770012831902,0.409633797255907
23,23,PI_634695,93.3594906721943,0.38248938900405
24,24,PI_312165,93.7099003059915,0.350409633797213
25,25,PI_438722,94.0455038989241,0.3356035929326
26,26,Grif_9457,94.3465600631724,0.301056164248337
27,27,PI_442274,94.6352778600336,0.28871779686115
28,28,PI_532381,94.8894482282104,0.254170368176844
29,29,PI_271341,95.1214095350903,0.231961306879924
30,30,PI_634701,95.3484354950153,0.227025959925001
31,31,PI_482586,95.5581877405982,0.209752245582862
32,32,PI_511948,95.7654723127036,0.20728457210538
33,33,PI_438759,95.9530154969894,0.187543184285843
34,34,PI_475750,96.1356233343204,0.182607837331005
35,35,PI_442280,96.3034251307867,0.167801796466293
36,36,PI_438782,96.4662915802981,0.162866449511384
37,37,PI_438792,96.6143519889448,0.148060408646714
38,38,PI_489694,96.7525417036818,0.138189714736967
39,39,PI_550690,96.8808607245089,0.128319020827135
40,40,PI_438799,97.0042443983812,0.123383673872297
41,41,PI_438741,97.1226927252986,0.118448326917388
42,42,PI_358507,97.2362057052611,0.113512979962479
43,43,PI_201772,97.3398479913138,0.10364228605269
44,44,PI_172344,97.4434902773665,0.10364228605269
45,45,Meot_Jaeng_I_Ae,97.5421972164643,0.0987069390978235
46,46,PI_438794,97.6409041555621,0.0987069390978377
47,47,PI_442264,97.7297404007502,0.0888362451880766
48,48,PI_438767,97.8136412989833,0.0839008982331109
49,49,PI_438551,97.8876715033067,0.0740302043233783
50,50,PI_442250,97.96170170763,0.0740302043233356
51,51,PI_438737,98.0307965649985,0.0690948573685262
52,52,PI_222760,98.099891422367,0.0690948573684977
53,53,Shishigatani,98.1640509327806,0.0641595104135746
54,54,PI_458745,98.2282104431942,0.0641595104135604
55,55,PI_482560,98.2874346066529,0.0592241634586514
56,56,PI_560952,98.3417234231567,0.0542888165037567
57,57,PI_482538,98.3960122396605,0.0542888165037567
58,58,PI_489695,98.4503010561642,0.0542888165037567
59,59,PI_438752,98.4996545257132,0.0493534695489615
60,60,PI_482491,98.5490079952621,0.0493534695488762
61,61,PI_451835,98.598361464811,0.0493534695488762
62,62,PI_438785,98.642779587405,0.0444181225939815
63,63,PI_357918,98.6822623630441,0.0394827756391152
64,64,PI_449348,98.7217451386832,0.0394827756391436
65,65,PI_500488,98.7612279143224,0.039482775639172
66,66,PI_438773,98.8007106899615,0.039482775639101
67,67,PI_438815,98.8401934656006,0.0394827756391294
68,68,PI_257532,98.8747408942849,0.0345474286842631
69,69,PI_438790,98.9092883229691,0.0345474286842062
70,70,PI_550693,98.9438357516533,0.0345474286842347
71,71,PI_512161,98.9734478333827,0.0296120817293968
