gid,PC1,PC2,PC3,PC4
PI_162669,0.00486335924640621,0.014202187018764,-0.00288455694534001,0.0454235396798929
PI_194268,-0.0557347986531695,-0.0195243874850247,-0.0363772116260378,0.00756987453921992
PI_357880,-0.0482548851683002,-0.00900373016327013,-0.0363274403212352,-0.00671290457778079
PI_357881,-0.033867367765467,0.00688743751686094,-0.0423265713435225,0.0014154478062688
PI_357882,-0.0338477601471595,0.00902647483949417,-0.0560316075012441,0.0196317651447221
PI_357887,-0.0492457532918577,-0.00129570033857862,-0.0445824789360887,0.00598318561396781
G_32304,-0.040900903719306,-0.0318822286657157,-0.0193263662744433,-0.000530957509612138
PI_357888,-0.048550505364457,-0.0105950124954912,-0.0431805695610208,-0.00130347284507238
PI_357889,-0.0374437021035051,-0.00432684030735085,-0.0327740009617168,-0.0183862996321165
G_32322,0.0176436557128047,-0.0213440432958085,-0.0130144121523689,-0.0129997964224214
G_30147,0.0306220047162467,0.0296720856315769,-0.0351126067434582,-0.000997728228697809
G_32321,0.00999509808202085,-0.0144326270370391,-0.00943240731411067,-0.00698036656789285
G_23729,0.0727921877849146,0.0469025706030255,0.0212851060340055,0.058950405453485
G_23728,0.0164866542082748,0.0192211428475001,-0.0118639446674726,0.0367232997601339
G_23727,0.028919430753143,0.0290307159605252,0.0195599922891675,0.0619127209956197
G_23726,0.0457967485829168,0.04234512638906,0.0113837378346699,0.0844894085273612
G_23725,0.0370046750280183,0.0267434126344897,0.0178202055947099,0.0692497806338927
PI_176960,-0.0717548975520746,-0.0250877110764914,-0.0297602078107363,0.00214569958506959
PI_357894,-0.0539869981063871,-0.00188023847577209,-0.0435927902001584,0.00184104257061725
G_23734,0.0235411462752384,0.0278818135503098,0.0044038928445033,0.0511434856188601
G_23733,0.00545145879504528,0.0143214322898328,0.00427684701827359,0.0136957600137459
PI_357896,-0.0408123809380168,-0.00571709487851829,-0.0444162637454837,0.000136682160062143
G_23732,0.0500048227573692,0.0503910658593302,0.00922633326750451,0.0551868407919804
G_23731,0.0597324756277024,0.0584168259293357,0.0121954067768801,0.0506027250074043
PI_357897,-0.0407431760137834,0.00115108357343293,-0.0341105788543662,-0.00469568512463282
G_23730,0.0609050055784179,0.0533972434201929,0.0116280751284704,0.0513168048932608
PI_357890,-0.0516320643642658,-0.0109728010946873,-0.0345037840370605,0.00909586669160725
PI_379301,-0.0418268627672496,-0.00930539472904609,-0.0240099404913097,-0.0171828404444796
PI_379300,-0.0469604777090279,-0.00730519406637772,-0.0343722628534698,-0.0181113231847337
G_22762,0.18404540238255,-0.262934066684782,-0.0860435088321015,-0.0314729085094328
PI_379303,-0.0513600847574331,-0.0138737215784627,-0.0328690446570289,-0.0132882699295759
PI_379305,-0.0515407789014309,-0.00218317880533891,-0.0405163113512177,-0.00164676674854337
PI_379304,-0.0470904154467178,-0.0050293201008658,-0.0578217478133086,0.0030681435911016
G_32319,0.00807586969293209,-0.0145621910384751,-0.00896192434613484,-0.005801174243765
PI_220861,0.0273087472970639,0.0125679462775725,-0.0253279049620438,-0.0360460822291055
PI_357898,-0.0451253011136043,-0.00331531035434675,-0.0326586526251169,-0.0056165224512994
PI_357899,-0.0536110451879243,-0.0116533529023745,-0.0233731297969011,0.000381217346226363
PI_368563,-0.0491693603652375,-0.0123569711509378,-0.038264764514307,-0.00322920280053359
