gid,PC1,PC2,PC3,PC4
PI_162669,0.00524653025448556,-0.00572489080301771,-0.0181913202130665,-0.00170955728963299
PI_194268,-0.0373408313484177,-0.039601523199208,0.00917261067147079,-0.0244966622211257
PI_357880,-0.0288264599891053,-0.0472665772188617,-0.00693933196769399,-0.0142472498888027
PI_357881,-0.00899083828869411,-0.0316690885762119,-0.000724415586103692,0.0022753121974848
PI_357882,-0.0131932706385672,-0.0362835217751495,-0.0202058422011244,0.0194373242409311
PI_357887,-0.0236929849240783,-0.0382875678071564,-0.00978171350644527,-0.00459543986049783
G_32304,-0.0462718741956469,-0.0335570277260545,-0.000398315316982122,-0.0654164057648513
PI_357888,-0.0288137918197981,-0.0446316071147235,-0.00703531520952761,-0.0119863893812825
PI_357889,-0.022888309779632,-0.0370777606781323,-0.00202203083874336,-0.0396217038133398
PI_540417,0.034918464415218,-0.0101859092000906,-0.0120523299369586,0.00249741812985482
G_30147,0.0520695763898048,-0.0354782356852106,0.0451328796889658,0.0401950331011049
PI_183259,-0.0454978901243366,-0.0293245808113957,-0.00342689939307912,-0.0312916069027424
G_23729,0.096031834458933,0.0237181326567602,-0.15297106621992,0.0119509884547554
G_23728,0.0255102669081105,-0.00662287167062767,-0.0818197187009448,-0.00674859500812369
G_23727,0.0626420642237997,0.0154562425294852,-0.118098736818134,-0.0127474849990548
G_23726,0.068544315298729,0.00963527865843942,-0.139698661667612,-0.0188614470513291
G_23725,0.0664533095067352,0.00886863413429915,-0.133683347315472,-0.00885261577666087
PI_176960,-0.0542790821787115,-0.0430677541382633,-0.000855099273288113,-0.0328436543139014
PI_357894,-0.0266440295154094,-0.0496398510288795,-0.00892201416430687,-0.0252700087687932
G_23734,0.0380838609595604,-0.00230228275686469,-0.0755197226739762,-0.00746105863748388
G_23733,-0.000468545931143262,-0.0168273000693583,-0.0100084219389962,-0.0147174498926738
PI_526246,0.028109757124061,0.0389078815579389,0.00824496047434113,0.00979279306521828
PI_357896,-0.0209817375442409,-0.0307901504182025,-0.0173741477506276,-0.0209259881568024
