gid,PC1,PC2,PC3,PC4
PI_438737,-0.0858632112026918,0.029053442815282,-0.075903636737062,-0.0678265420967789
PI_438739,-0.0963649150788619,0.0307574027852455,-0.0920644232324992,-0.0658976497658402
PI_438733,-0.0930928994481967,0.0380427118176991,-0.0873090561546626,-0.0685776074356899
PI_438736,-0.0985146301567637,0.0372810901433706,-0.0931938882010363,-0.0604059090728936
PI_438735,-0.0839961393440759,0.0284045823817417,-0.0744795371103898,-0.0610160179635902
PI_438732,-0.0880498345444293,0.0290285946874158,-0.0820733128927712,-0.0673321999274616
PI_438731,-0.0900538690891868,0.0270221859254467,-0.0798386739719822,-0.0585053915428926
PI_634701,-0.0378380285708309,0.0347880050993911,0.0474017571105808,0.0436297605997219
PI_451839,-0.0517114033439149,0.0104541098723642,0.0314621163324644,0.0144408199871815
PI_634700,-0.0181165833598506,0.0335451883217071,0.061898754138691,0.0552567679960228
PI_451835,-0.0597006036417573,0.0108175483295152,0.0242476693255011,0.0139856594430165
PI_482570,0.0786971695280756,0.0181072378190994,-0.0505492076076532,-0.00713246082865715
PI_482573,0.0822639372959278,0.015418308805584,-0.0521431174728436,-0.00866836085568264
PI_634706,0.0825592792541051,0.064281793209446,-0.0154817620247705,-0.0290882392450753
PI_482575,0.0666359694175551,0.0124330037463041,-0.0409840398710747,-0.00902043259760328
PI_482577,0.0800256833593755,0.0135512974197779,-0.0489933659128985,-0.00986119878495013
PI_634703,-0.0234038737819343,0.018468329555558,0.0591544999049828,0.0503879290394635
PI_482576,0.0752689556951104,0.0101911743933874,-0.0520257914407928,-0.0010618986459162
PI_634702,-0.0233986636318229,0.0216107812276008,0.0648748964865364,0.051690132108336
PI_634705,0.0758838144198223,0.0561870941272335,-0.0200550153715741,-0.024599600928801
PI_574552,-0.0822797433647977,0.0256167598373507,-0.0773303975766797,-0.0589635848865139
PI_482578,0.0784489750068148,0.0139271052967827,-0.048711564085018,0.00182999817685023
PI_634704,0.00465702112257899,-0.151166592162774,0.0875050220521371,-0.175323768073071
PI_482569,0.07655491814214,0.0153002030395127,-0.0479460415909077,-0.00942595557365184
PI_438723,-0.0865980683288076,0.0339456537813823,-0.0767530797074888,-0.0669499262962739
PI_438722,-0.0221449272917553,0.0202450029630899,0.055503250591133,0.0546788215999864
PI_451845,-0.0307210429791885,0.0240048789205979,0.043764314025253,0.0564570740321736
PI_438725,-0.0914288775640777,0.0375842757749893,-0.0767882007297529,-0.062055466399844
PI_438724,-0.0975622061154297,0.0397753222209108,-0.0795908665652503,-0.0639176607502745
PI_451841,-0.0528050756810529,0.0141499022113156,0.0255023145419212,0.0135635136453138
Violina_Rigosa,0.0523782529881315,0.0106336131955367,0.0213748072278875,0.00653381056629332
Greek_Sweet_Red,0.025171905932147,-0.130327093266097,0.038222254689681,0.0167312437749249
PI_451848,-0.0531725832938569,0.0169000507814625,0.0264649432686313,0.0181207487762237
PI_482560,0.0693530870090957,0.0125182351645777,-0.0440293447398705,0.00134910944515767
PI_451846,-0.0397033247846942,0.0151101785052104,0.0478279446035315,0.030860386788794
PI_358507,-0.0151677766053098,-0.130010214291128,0.0452897726174455,-0.0658177860448663
PI_550690,0.00116186482418524,-0.143971839388014,0.0869566954429341,-0.175387848144937
PI_482564,0.0771634603926948,0.0143402949993085,-0.0488971813945958,-0.00215691368798615
PI_550693,0.0168086668510432,-0.116735402539081,0.0826012234525536,-0.15699506172593
PI_183258,0.0268932032809396,-0.0850184455616953,0.0231440942658916,0.0117449505280173
PI_550694,0.00194663827965829,-0.1491755595065,0.0939316892220805,-0.179923974071259
PI_482565,0.0700745123938229,0.0173504066202152,-0.0443204178080103,-0.00322321677125521
PI_482567,0.0689323648081437,0.0165815557094637,-0.0421337053153147,-0.00596122761622466
PI_550692,0.0150857224693609,-0.113992699289906,0.0789787555996389,-0.15261635775123
PI_512177,-0.00495900579430685,0.0154683949114193,0.0637172011138164,0.05443284290135
PI_438759,-0.0850274070511263,0.0302487975805353,-0.0768586402480731,-0.0563354134104212
PI_438756,-0.0904741854265509,0.0325227523962816,-0.0823388704872143,-0.0647023671847727
PI_438758,-0.081926253110063,0.0307467172977176,-0.0785202545638386,-0.0630630572332828
PI_438752,-0.0890841004015574,0.0333078799085082,-0.0673778375326749,-0.0536427235056441
PI_438751,-0.0782433237833745,0.0244836646409488,-0.0702347991770988,-0.0600187111982364
PI_438753,-0.0809664744206595,0.0315435407207212,-0.0682430413988827,-0.0587019889515554
PI_438760,-0.0614118643116848,0.0286989497282871,-0.0186270812624571,-0.0060932908219515
PI_550689,-0.00337696145771939,-0.150644330133664,0.0842830810513331,-0.163818113503675
PI_482553,0.0766367832122925,0.0102137596567365,-0.0558402652900452,-0.00125021460353511
PI_482552,0.0644414578712564,0.00929536442116459,-0.0396726715684799,-0.00382173127405004
PI_482554,0.0693084744376795,0.00600894222347471,-0.0530367071086546,0.00380788893887971
PI_482556,0.077765196167089,0.0083067588001811,-0.0478077983048226,8.04458019068623e-05
PI_482548,0.0760288352583656,0.00732872468930389,-0.0591470616883131,0.0028012901597799
PI_482547,0.0685752589307559,0.0106076986472831,-0.0570765089284449,0.00498215751462019
PI_482549,0.0739473676315197,0.00492124951223702,-0.0615297851508286,0.00954515983273376
PI_438748,-0.080333807929866,0.0340372016925099,-0.0826593611022149,-0.0674509777352332
PI_172344,-0.0192609831405423,-0.016423802728283,-0.00161125258525129,0.0173251759944228
PI_438747,-0.0921958509051964,0.0334282387259288,-0.0929359378012921,-0.0770813680097909
PI_438741,-0.0826243734465176,0.02558665823161,-0.0765257853498663,-0.0518120578858316
PI_438743,-0.0878035432162048,0.0271851594650908,-0.0782747517733703,-0.0581622824995992
PI_438750,-0.0840553912161705,0.0283276943852144,-0.0776970773477717,-0.0592105470165365
PI_482542,0.0708450197469596,0.0162887222496312,-0.0512982431905941,-0.00291419857014199
Black_Futsu,0.0508071317530199,0.00322376886728632,0.020828461328191,-0.0053893426929604
PI_482546,0.0751291384364384,0.0132548742935282,-0.0561597094126713,0.00238826041175575
PI_482545,0.0688708579795277,0.00601563926912825,-0.0557420017992682,0.011609969281232
PI_482538,0.0700462431941951,0.0118626891936625,-0.0471094774757479,0.001150135157686
Grif_15151,-0.0172822045759557,-0.110643584099489,0.017767286076861,-0.0208726491116358
PI_438815,-0.085536230831415,0.0284493866311888,-0.0818609145137026,-0.0689088007316502
PI_438811,-0.0854926124556655,0.0297675336050195,-0.0801519056551918,-0.0635057125545445
PI_195312,-0.033479098548483,-0.00694107559759675,-0.00142996931100317,0.0208003320494561
PI_634982,0.0061131924013907,-0.131280931815176,0.0839054505462536,-0.164126925155023
PI_200823,0.0264570206488118,-0.099950864289455,0.0490999716833393,-0.0329232122251951
PI_200822,0.0640642000840934,0.0532257470026586,0.0116441271856365,-0.00988494170717065
PI_482535,0.0759903946659201,0.0178017779589028,-0.0581752256558535,0.00014088210105268
PI_482534,0.0764660787090906,0.0214440226094277,-0.0584492906203278,0.00259043761058849
PI_438808,-0.034542774649701,0.0263638765960246,0.0717687527313035,0.0610130005358591
PI_482525,0.0766659221921029,0.0094415724643858,-0.0568045289373382,0.00279468591525638
PI_482528,0.0727676497218531,0.00905282250993684,-0.0443910456913541,0.00156285610932786
PI_482527,0.0718088595609495,0.0157349694816073,-0.0478101115528557,0.00213366531867133
PI_438803,-0.0210382991295973,-0.071246004228494,0.0738943541425396,-0.0926881314350588
PI_267753,0.0168032806584168,-0.0935967455304365,0.0326739636159233,-0.0206452725841317
PI_438800,-0.0448034527332044,0.0252073435580593,0.03749565029061,0.0286509111574756
PI_194570,-0.0566395490034963,0.013305376062018,0.025353818266498,0.0118977645948875
PI_438802,-0.0465854186248301,0.0213222137848214,0.0404918232914845,0.0269394735087303
PI_267752,-0.00399291077916928,-0.121007987372382,0.0242283741590097,-0.00861747945322983
PI_438801,-0.0433340215121196,0.0196883140406996,0.0406466130534081,0.0216726551702427
PI_135371,-0.000365666341012393,-0.0829715389010148,0.0599795060862338,-0.0413004732894854
PI_482521,0.0666978456953079,0.00832779997326276,-0.0430537039413945,-0.00183682251335656
PI_482524,0.07063999036142,0.0104739846648424,-0.0487060458528638,-0.00352482758713538
PI_482516,0.0706972815526538,0.00897663823424795,-0.0516970361164836,0.00433944992210655
PI_419083,0.0593861035271148,0.0530548490664999,0.0284948551843957,-0.00823940236526396
PI_438830,-0.0436209887891515,0.0238923442688517,0.0377964064959538,0.0259996762662074
PI_482513,0.071006438583841,0.0149053621253985,-0.0410233642610706,-0.0089293384100877
PI_438708,-0.0398702151170432,0.0247665852394907,0.0613082375688404,0.0564178945654727
PI_482506,0.0719652447998395,0.0123054801372635,-0.0526019216134979,0.00433525769807554
PI_438826,-0.0355374135736232,0.0336431079949482,0.0430668383552264,0.0465839072697095
PI_438828,-0.0443956127066434,0.0256776570961227,0.0421984952711306,0.0376537932818021
PI_438827,-0.0405556324875553,0.029029048760015,0.0474209359238088,0.043776812075729
PI_458650,-0.0171063825870989,-0.11590567147513,0.0312403183256792,-0.0665579369726081
PI_200737,-0.0567488184253054,0.0129952718995591,0.0200618796028692,0.00775894580544892
PI_482500,0.0699035045237849,0.0136192707920463,-0.0479810849405051,-0.00292919416689128
PI_482501,0.0762679767498538,0.0175545817889903,-0.0570065471793043,0.00262676407503043
PI_458746,-0.067768335963188,0.0160801496927727,0.0202177465532316,0.0170022819610633
Fairytale,0.0083020544279619,-0.116225877589853,0.0102369869463935,0.0462364251166222
PI_442280,-0.0259094286575365,0.0239890314937107,0.0635518028586944,0.0432826318838777
PI_458745,-0.051013126243648,0.0189879196018408,0.0338642612622597,0.0180487980929479
PI_163230,0.0324306872470688,-0.0377317123324159,0.0321026180486704,-0.0877624273718086
PI_500488,0.0627215774107363,0.00792063482858905,-0.0414957255914485,0.00478024815117748
PI_490354,-0.0365267057001082,-0.302824054294489,-0.327052016783779,0.345335253201351
PI_442271,-0.0407788027295877,0.0183769968579654,0.0463157764916488,0.0243970251438697
PI_442272,-0.0637273360205508,0.0347681108492568,-0.0129340105233592,-0.00660179128579878
PI_442273,-0.0300723003307144,0.0229066068123187,0.0643090508807787,0.0514813699435192
PI_442274,-0.053721880446773,0.016254815742723,0.0278184052650722,0.0217933302545795
PI_442275,-0.0473533979064136,0.0171048913914243,0.0364680505441149,0.0267905326935116
PI_442277,-0.0425682738116038,0.0166038543086448,0.0422802451729045,0.0339454525728905
PI_442278,-0.0280759253133322,0.0266432354238213,0.0577824500668194,0.051119937934372
Chirimen,0.0707920285017078,0.0629619071135828,0.0289398634596905,-0.013086804034245
PI_211993,0.00756827786459817,-0.0426069274172578,0.0278052430589924,0.0017778849988893
PI_369346,-0.0582303664859829,-0.0206309430212691,0.00522379818736626,0.0024226305282678
PI_211998,0.0385288423492721,0.0227883989525964,0.00644756699943935,-0.00260042847066518
PI_211999,0.024460747737321,-0.118250120840012,0.0593593349525885,-0.0871305588790353
PI_442268,-0.0444924327152787,0.0224666952520794,0.0331662154061208,0.0183043980382825
La_Estrella,-0.0340531627721173,-0.0722544519791443,0.018939463482318,-0.0130242375133239
PI_448806,-0.0696969156121751,0.0285436407893379,-0.0226100630185867,-0.0203942575655195
PI_222760,0.0100573429844275,-0.0379514458918361,0.036768331640341,0.0503658610997989
