gid,PC1,PC2,PC3,PC4
PI_438737,-0.0816483978011035,0.063446456048022,-0.0916362875830587,0.0196620305915794
PI_438739,-0.0810068664923315,0.0614377865897576,-0.0874727626482605,0.0259947192126166
PI_438733,-0.0831310324699232,0.0654482783926895,-0.0962869081456449,0.0206753764309551
PI_438736,-0.0863907428823616,0.0668978301191532,-0.0952040020099139,0.0274415449117871
PI_438735,-0.0789207032802093,0.0595138973040555,-0.0891196500038245,0.0293939403625899
PI_438732,-0.0896959955674195,0.0666718305832172,-0.107568162305047,0.0287524156075401
PI_438731,-0.0816612072714502,0.0693917524878324,-0.0943984893254244,0.0303034054788804
PI_634701,-0.0360191149289314,0.0218282550424995,0.0629094473352742,-0.0292094985302914
PI_451839,-0.0502033170070094,0.016284010796245,0.0456309036597335,-0.0266663665585085
PI_634700,-0.0145264938398355,0.0114709288686246,0.0601965475567782,-0.0446084161884906
PI_451835,-0.0502218052232055,0.021254977250104,0.0397675791350895,-0.0276683580388644
PI_482570,0.0776340942769145,0.0241210107234538,-0.0384428587353441,0.0158807658344193
PI_482573,0.0837266703079511,0.0234557076373537,-0.0393217410824555,0.0253850738542525
PI_634706,0.0869992758791824,0.0396055590212829,-0.0180041705052065,-0.0481491832822131
PI_482575,0.0806649066617626,0.0181154659548626,-0.0423886470261371,0.0230051370645788
PI_482577,0.0814693402554622,0.0177805644955715,-0.0347246568200438,0.0261339752131535
PI_634703,-0.0263942849926552,0.00284152175180119,0.0756286893773574,-0.0190299679607569
PI_482576,0.0819018981210036,0.0214051894312516,-0.0402743185810829,0.0237431264660246
PI_634702,-0.0266101551903504,0.00051125059663257,0.0735770513396472,-0.022658825769699
PI_634705,0.0950206558332758,0.042264721028806,-0.0253676517559058,-0.0435676950987489
PI_574552,-0.0852029245449368,0.0645295148015745,-0.104755011134735,0.0266697841449122
PI_482578,0.0829824396840464,0.0181981822601554,-0.0389584031936149,0.0300527427147516
PI_634704,-0.0311611587049394,-0.237453075597439,-0.125322206532167,-0.110950107402239
PI_482569,0.0791301671520044,0.0196943356059299,-0.0373351447032529,0.0205410956562235
PI_438723,-0.0853255728460493,0.0668177013318442,-0.0964416951521886,0.0206960370941178
PI_438722,-0.0231756110634208,-0.000469839287670437,0.0783605591319732,-0.0220281135762966
PI_451845,-0.0228429545114108,0.0145474111662889,0.057712320787999,-0.0313351897217433
PI_438725,-0.0763377085326562,0.0577469192094552,-0.0729875892618475,0.0230295899094799
PI_438724,-0.081939670720074,0.0607503798759408,-0.0792787071107257,0.0216076280778042
PI_451841,-0.0503685343637509,0.0189852662333635,0.0327814995959653,-0.0299071012714837
Violina_Rigosa,0.0398758466305364,-0.00553121432470359,0.0314533650161049,-0.0281375757970958
Greek_Sweet_Red,-0.000806201163287508,-0.103974267867337,0.082956271320932,0.241885704379001
