gid,PC1,PC2,PC3,PC4
PI_173680,0.0068660209158584,-0.0279703877240186,0.0108322611675788,-0.0020678167177113
PI_173685,0.0133146845301354,-0.0160103435076907,-0.008026788987231,-0.00179266400087694
PI_173686,0.0115635542985128,-0.0227907129845943,0.00211717686665731,-0.00914258284930811
PI_173681,-0.0955607271953229,0.0129314595032062,0.00865631011736627,0.0210896930911293
PI_173683,0.0170125049448837,-0.0176426662908975,-0.00988345390414778,-0.00349248490215174
PI_173684,0.00988813443669039,-0.0404479659601833,0.0306699944013838,0.000877101267349786
PI_176959,-0.0387494679431637,-0.0164830313539274,0.0148072882296246,0.00555755180068791
PI_164957,0.0120091697314539,-0.0529260191313001,0.0431471098438219,0.00158528434617423
PI_176965,0.00739848784783354,-0.0129764859318374,-0.0199831565312806,-0.00990749928281735
PI_176964,0.0125984267271499,-0.0488401008969624,0.040871731945958,0.00196237700231478
PI_176961,0.0124860386611702,-0.043208315301014,0.0305794636245506,0.00332139050816496
PI_176962,0.0148652500108376,-0.0234780446636195,4.15583521693741e-05,-0.00124071174887202
PI_597784,-0.0308443768387495,0.0106628814520352,-0.0469513834820902,-0.0169681064411705
PI_595364,0.0115616768761225,0.00626560430557044,-0.0331967153941124,-0.0114010854775346
PI_357892,-0.00412663469178087,-0.000305720669088731,-0.0376161766162564,-0.0274658975319833
PI_357893,-0.0425504729086175,0.00461915441774692,-0.0145048589540376,0.0031074087022281
PI_344354,0.0130367438570329,-0.0532543258453251,0.0466294859058978,0.00430647789703051
PI_344356,0.0123577108791075,-0.0224464397490656,0.0006802813974044,-0.00393402006423303
PI_344357,0.00741516515061433,-0.0367897269883993,0.0280866021123348,-0.000158513937637362
PI_344358,-0.0232733789898897,-0.025498445606345,0.0255261757249694,0.00217003995939516
PI_344359,0.0120218888819094,-0.0254423180726474,-0.0139745272323929,-0.0117319969378808
PI_599994,0.00917229538364909,4.49497902619305e-05,-0.0705069026406987,-0.0304962445802374
PI_512186,0.0395370153810132,0.060801417376805,0.0192829313584394,0.0664894015502808
PI_512185,0.0359383482559007,0.0547405332733037,0.0246093080875098,0.0528599901552054
PI_512189,0.0446917548843635,0.0704356350280209,0.0265756436120193,0.0597253558838941
PI_512188,0.038007257182299,0.0594597885530146,0.0269979440412223,0.0607487842077902
PI_216032,-0.0737102637424832,0.0140897251613213,-0.000271856250443075,0.0170988732095523
PI_183232,0.0105333523090689,-0.0102112062127577,-0.0353986893303073,-0.00968844929640179
PI_512192,0.0365818351740296,0.0597948953471655,0.0255642159202453,0.0581935650095969
Ames_7770,0.0136538834806345,-0.00721464908000555,-0.0176501144087288,-0.00162972590294448
PI_512190,0.038255497212092,0.0641011767918466,0.0213469884291098,0.0524866785785082
PI_368588,0.00983126305656372,-0.00646885790234102,-0.0172763654495971,-0.0040744981164488
PI_368589,0.00942830079268078,-0.00716265068131944,-0.0193101043957399,-0.00555964364817339
PI_368586,0.017061578384838,-0.0094095065346708,-0.0362580266118026,-0.000281214314253843
PI_368587,0.0113368992174962,-0.00918202649297467,-0.023813790069278,-0.0105722599864219
PI_507885,-0.0109047101330301,0.00551545913103526,-0.0338048857819022,-0.0222692106941294
PI_507882,0.00442441443614974,0.00123988359702639,-0.0398468778773418,-0.0222204519318112
PI_193499,0.0123877696806642,-0.0155192961379309,-0.0106668911605853,0.00140917045944224
PI_490278,-0.0294778276747318,-0.0108682505120483,0.00911027180540628,0.00571998210745275
PI_490279,-0.0345741249225321,-0.0111471892815199,0.010981365651964,0.0106182081396122
PI_490277,0.0310068323713836,0.0871983340217948,0.102591752786958,-0.0534202047829469
PI_490274,0.0076860375769342,-0.0049316059479879,-0.0435344330413659,-0.0140129752455846
PI_490275,-0.0135445227081763,0.0136973534568366,-0.0412467608946427,-0.00932197346016508
PI_368591,0.0085895460306392,-0.0108707189111419,-0.0315969649621569,-0.0102873271991858
PI_368592,0.0152306385821265,-0.00711571249231232,-0.0329649195131975,-0.00962142257620269
PI_167199,0.0123231880261938,-0.0584806257795119,0.0551379799037107,0.00281197141226629
PI_368590,0.0122860057469971,-0.0159321992620487,-0.0152558363117644,-0.00751594541159424
PI_222721,0.0113946125884373,-0.0407219589654985,0.0310543011311025,-0.00426849850234197
PI_222722,0.00896279266238654,-0.0442061271688047,0.0402182568084398,0.00679567542364934
PI_209783,0.0106721962355291,0.00214166400720336,-0.0574557884418727,-0.0223775206135582
PI_438716,0.0458625274601347,0.0778644856829917,0.0482555456155999,0.0465464987048536
PI_438717,0.042764890969086,0.0694544406160852,0.0459455247897373,0.029008963691013
PI_438711,0.0201891995621105,0.0431652580394604,-0.00087032966824253,-0.010737932693267
Ames_25941,0.00733421671951319,0.00234379682652395,-0.0349276554624762,-0.0202415390453156
Ames_25942,0.00831021142107235,-0.00193925755918713,-0.0369895355395147,-0.0153289315276522
Ames_25700,0.0107037160076811,-0.00876420500413225,-0.0549180056366773,-0.0217403213085905
Ames_25945,0.00986177416160968,0.00447461266776442,-0.0384677857545563,-0.0138530886186286
Ames_25701,0.00676345751984378,-0.0144942696279923,-0.0463931927847034,-0.0215896038988428
Ames_25943,0.0123960509159302,-0.0028187975032801,-0.0364355217453082,-0.0292608497895372
Ames_25944,0.00753709853645906,0.00347735808048179,-0.0436434219770179,-0.0244415158089944
PI_304061,0.01381690460053,-0.0119178225076069,-0.0166461647663756,-0.00079647566364196
PI_296388,0.0129755798780021,-0.0467876348860735,0.0424326080801267,0.00596854849517578
PI_368595,0.0061436579075864,-0.00873717456323527,-0.0317423903447453,-0.0131401696630518
PI_368596,0.00990865751780322,-0.0107324119257282,-0.0301213765857019,-0.00919597302780971
PI_183678,0.00635723111796836,-0.0454333858891414,0.0273254090248017,-0.000658489601449534
PI_368593,0.0164707941025229,-0.00723065059748693,-0.0282413808424306,-0.00220561891664624
PI_368594,0.00836745660882467,-0.0085713151397527,-0.023770079554713,-0.0107328995901864
PI_368599,0.014074719143688,-0.0259327059655162,0.00455839202820012,4.15145113834371e-05
PI_368597,0.0109135266708901,-0.00558630252645149,-0.0240077760235326,-0.0104865800443116
PI_368598,0.01004291423519,-0.00643144111559864,-0.0257681610880294,-0.0106821083276184
PI_135398,-0.014334580075665,-0.00605263953152899,-0.00958449693723379,-0.00688376637174303
PI_438700,-0.0135868867963254,0.0932633100182953,0.115953735023228,-0.13836679808253
PI_135394,-0.0668184699275673,0.0144574491571627,-0.00111448748651479,0.00867813132870311
PI_355054,0.0104540704518404,-0.0530331149782635,0.0488253872335174,-0.00168595746006539
PI_507888,0.00605985152006892,1.54542449496142e-05,-0.0417542021507784,-0.0173275988794911
PI_381323,0.0104980445978556,-0.00740349092115629,-0.0151971489812951,-0.00851305257966847
PI_507887,0.00648412348432429,2.01152298346056e-05,-0.0324099576136067,-0.0147224426799543
PI_507886,0.00695948478030427,-0.00675409918292151,-0.0354151638772915,-0.0120970202950875
NSL_98075,-0.0780883896282052,0.0129068142904718,0.000938564674268966,0.0156829653098035
PI_176550,0.0150195326380888,-0.0125661410046184,-0.0158348806244541,-0.00353513915112657
PI_370465,0.00987344250585464,-0.00999129703426687,-0.0265309813555532,-0.00653014798065584
PI_176551,0.0115972434194904,-0.0173395043289114,-0.0223599807895149,-0.0105743829597421
PI_370464,0.0122381082596863,-0.00588738208280003,-0.0302053537019862,-0.00887165998694101
PI_370467,0.0105200780403436,-0.00472539135429159,-0.0284385939105026,-0.00600344055091685
PI_370466,0.0158327273657622,-0.00674938560171354,-0.0272668263123247,-0.00516707715295528
