gid,PC1,PC2,PC3,PC4
PI_173680,-0.0153498111321976,-0.0212265677344152,-0.00426125498112305,-0.0228607408415965
PI_173685,-0.0146253295011202,-0.00346964280218739,0.0135159879028989,-0.0309888374595314
PI_173686,-0.0145031192424194,-0.0168044778132705,0.00872922588114913,-0.0142808178984964
PI_173681,0.0894761403891646,0.00217649697793052,-0.0096664377517449,-0.00185626192127898
PI_173683,-0.0154583073028975,-0.00784424306858544,0.0049923361084022,-0.0366624498566404
PI_173684,-0.0144483182857458,-0.0512084304524397,-0.0220217809304338,0.00368831090337493
PI_176959,0.0299995097976302,-0.0245369881887992,0.00970710599739267,-0.0242237694167697
PI_164957,-0.0168968464075907,-0.0597379441294083,-0.0367432156654919,0.00550227348243881
PI_176965,-0.013327899264801,-0.00475925662667689,0.0289354750517891,-0.0391256974432843
PI_176964,-0.0158108764487904,-0.055634149892179,-0.0338398354624836,0.00480537851774036
PI_176961,-0.0160040482538482,-0.0475092306025325,-0.0275817932027776,0.000607746318662955
PI_176962,-0.0166370810218244,-0.0137946320960053,-0.00658927913856918,-0.0156310834990326
PI_597784,0.0286495374643334,0.00382087421903755,0.0530261592062749,0.0534998018491667
PI_595364,-0.0129411522418488,0.0119182796107436,0.0328283161390169,0.0384091843099582
PI_357892,-0.000313323180549378,0.00476077237300418,0.0650657960238684,-0.0634702750517915
PI_357893,0.0403937007203779,0.00574725588631446,0.00956630622549226,-0.024796978185138
PI_344354,-0.0169365379221896,-0.0571130915512538,-0.0407072112763854,0.00144033461494937
PI_344356,-0.0167947074111148,-0.014358709425038,-0.00674471725365072,-0.0168205232115212
PI_344357,-0.0153127300568276,-0.0429383675076952,-0.0225159492477994,-0.00571726175200775
PI_344358,0.0173780349496687,-0.0392297216527314,-0.00876841261479129,-0.00365208516026675
PI_344359,-0.0143287195757025,-0.025771851847604,0.0214856746627341,0.0212909495895381
PI_599994,-0.0122590162189895,0.00783721103000273,0.0814580673236225,0.126593471195034
PI_512186,-0.0232818278462899,0.0669068857909383,-0.0588009547373925,0.0038094336226521
PI_512185,-0.0232140794553762,0.0658931976460933,-0.0594949182276883,0.00197505594711146
PI_512189,-0.0230290932133671,0.0682431988377744,-0.0625647394876767,0.00456689620437217
PI_512188,-0.0225664002594201,0.0648467449688414,-0.054866155716515,0.00435966209721288
PI_216032,0.0711487338574387,0.00228130286756584,0.00783400252979259,-0.00643480194600186
PI_183232,-0.0141536528005785,-0.00934583338269818,0.0439121393939191,0.0206896316454429
PI_512192,-0.0231879229964698,0.0688752478368915,-0.0606448787116236,0.00208076504318234
Ames_7770,-0.015232901051709,0.00409127047220827,0.0229058166120528,-0.0343408800801229
PI_512190,-0.0234349956735247,0.0683260907704377,-0.0602055535857533,0.0103283862839896
PI_368588,-0.0139471490485189,0.00672821224624036,0.0245937955853323,-0.0348956675175093
PI_368589,-0.0130689093329004,0.00284638271359425,0.0281196214015131,-0.0361288115024792
PI_368586,-0.0185014540694405,0.0132694233585738,0.0207718582189325,-0.0156670293728283
PI_368587,-0.0148509656469251,0.00579629689438251,0.0343215933761904,-0.0240571751879759
PI_507885,0.00691505595911206,0.00237691568265937,0.0599914887266195,-0.0490330613350157
PI_507882,-0.0110949187296483,0.00563486176611577,0.0547957269593726,-0.0193214971466347
PI_193499,-0.0153290319893528,-0.00526459812904573,0.0126246918057292,-0.00782581345151609
PI_490278,0.0255690273903143,-0.0155510277790038,0.00466109136532272,-0.00238119781661288
PI_490279,0.0339019018246493,-0.0205374626604796,-0.0181195037341649,-0.00550884816291089
PI_490277,-0.0165885679985685,0.0667286440582028,-0.03848064527317,0.00150561573631399
PI_490274,-0.0127026800564058,0.00082285169855386,0.0500870962441527,0.0324884352004874
PI_490275,0.00907659018164635,0.0183989305035963,0.0723073650558698,-0.171429402789665
PI_368591,-0.0127349180720347,0.000815814605416632,0.0397326609681,-0.0380753267557627
PI_368592,-0.0173265114818726,0.0102473724514383,0.0230144064786361,-0.0187221073471806
PI_167199,-0.0159258164564259,-0.0694432979967742,-0.0386049478789346,0.00776005035224458
PI_368590,-0.0143074238773306,-0.00172228567402414,0.0274227790466709,-0.0139570223261674
PI_222721,-0.0159544980434331,-0.0423307416874106,-0.0286580779170298,-0.00376415019901302
PI_222722,-0.0143993994395724,-0.0501709037355883,-0.0293152231111889,-0.00490370758414902
PI_209783,-0.0130873527615939,0.0101930791417135,0.0451266777241434,0.0164408670336848
PI_438716,-0.0234388684668321,0.0670294848736703,-0.0595472495139453,0.00547811197850913
