accession_id	removed	country	accession_name	taxonomy	improvement_status	cultivar_class	narrative	region	1	2	3	4	5	6	grp	pos
G_21629		Afghanistan	G 21629	Cucurbita maxima	NA	NA	NA	Asia	0.761534	0.187785	1E-05	0.01708	0.033582	1E-05	2	371
G_21630		Afghanistan	G 21630	Cucurbita maxima	NA	NA	NA	Asia	0.668037	0.258874	1E-05	1E-05	0.073059	1E-05	2	376
PI_135396		Afghanistan	No. 5057	Cucurbita maxima	NA	NA	Fruit somewhat flattened, 10 by 9 inches; rind pea green, heavily indented ribs; flesh orange, 2 to 3 inches thick, falirly good.	Asia	0.427353	0.221403	0.008512	0.278917	0.063805	1E-05	5	120
PI_135353		Afghanistan	No. 4921	Cucurbita maxima	NA	NA	Fruit subglobose, slightly flattened, 18 inches in length; weight about 50 pounds; rind grayish green; flesh yellow, 3 inches thick, not very sweet.	Asia	0.239675	0.338551	0.057813	0.363941	1E-05	1E-05	5	117
PI_135355		Afghanistan	No. 5016	Cucurbita maxima	NA	NA	Fruit 24 by 10 inches; rind smooth; unribbed, handsome salmon pink with green belly; flesh 2.5 inches thick, of good texture, and sweet.	Asia	0.514629	0.485331	1E-05	1E-05	1E-05	1E-05	5	178
PI_135351		Afghanistan	No. 4900	Cucurbita maxima	NA	NA	Fruits slightly flattened, 14 inches in length; rind salmon pink; flesh yellow, 2 inches thick, fair quality.	Asia	0.588858	0.387036	0.024076	1E-05	1E-05	1E-05	5	173
PI_135352		Afghanistan	No. 4911	Cucurbita maxima	NA	NA	Fruits slightly flattened, 15 inches in length; rind obscurely ribbed, gray green; flesh yellow, 2.5 inches thick, fair quality.	Asia	0.611084	0.388876	1E-05	1E-05	1E-05	1E-05	5	167
PI_135387		Afghanistan	No. 4930	Cucurbita maxima	NA	NA	Fruit globose, 10 inches in diameter; rind white, faintly ribbed; flesh pale orange, 2 inches thick, incipid.	Asia	0.501516	0.189773	0.119653	0.020469	0.168578	1E-05	2	378
PI_223438		Afghanistan	Kadoo	Cucurbita maxima	NA	NA	NA	Asia	0.273593	0.704247	1E-05	1E-05	0.02213	1E-05	5	186
PI_135356		Afghanistan	No. 5037	Cucurbita maxima	NA	NA	Fruit flattened, 11 by 7 inches; rind orange red with obscure rib lines of cream, smooth; flesh orange, not very sweet, smooth; flesh yellow, 3 inches thich, insipid.	Asia	0.412472	0.587488	1E-05	1E-05	1E-05	1E-05	5	190
PI_135365		Afghanistan	No. 4902	Cucurbita maxima	NA	NA	Fruit somewhat flattened, 8 inches in length; rind orange red; flesh bright orange, 1.5 inches thick, of fair quality.	Asia	0.585159	0.370928	0.043884	1E-05	1E-05	1E-05	5	172
PI_135370		Afghanistan	No. 4929	Cucurbita maxima	NA	NA	Fruit 24 by 10 inches; rind battleship gray, shiny, faintly ribbed; flesh bright orange, of good quality, but not very sweet.	Asia	0.525705	0.365423	1E-05	0.06592	0.042931	1E-05	5	166
PI_222188		Afghanistan	No. 737	Cucurbita maxima	NA	NA	Fruit round, orange; flesh white.	Asia	0.570052	0.126768	0.055999	0.231862	0.01531	1E-05	2	384
PI_135382		Afghanistan	No. 4725	Cucurbita maxima	NA	NA	Fruit flattened, 16 by14 inches; rind orange pink, with broken blotches of green and white; flesh yellow, 2.5 inches thick, insipid.	Asia	0.456424	0.502103	1E-05	1E-05	1E-05	0.041443	5	177
PI_135368		Afghanistan	No. 4909	Cucurbita maxima	NA	NA	Fruit somewhat flattened, 8 inches in length; rind black green; flesh orange, 1.5 inches thick, rather insipid.	Asia	0.576033	0.423927	1E-05	1E-05	1E-05	1E-05	5	168
PI_135373		Afghanistan	No. 5018	Cucurbita maxima	NA	NA	Fruit 14 by 9 inches; rind black green with blotches of Chinese red; flesh orange yellow, 2 to 2.25 inches thick, fair quality.	Asia	0.381779	0.408577	0.094258	1E-05	0.115366	1E-05	5	176
PI_135363		Afghanistan	Mekaekidu	Cucurbita maxima	NA	NA	Fruit round enlongate, 12 inches in length; rind ash gray, marbled with pink; flesh yellowish orange, 2 inches thick, insipid.	Asia	0.185719	0.177105	1E-05	0.548619	1E-05	0.088537	1	430
PI_92835		United States	'Nan Kwa'	Cucurbita maxima	NA	NA	South squash	North America	0.551129	0.171628	0.074427	0.110293	0.092513	1E-05	2	386
G_32612		United States	Crown Squash	Cucurbita maxima	Cultivated	NA	A hardy squash with wonderful flavor; germinates well and needs little care besides appropriate watering.	North America	1E-05	0.133048	0.033998	0.832924	1E-05	1E-05	1	401
PI_656589		United States	Quality	Cucurbita maxima	NA	NA	Info. from Harris 1959 cat. Splendid, high qlty squash. 103 days. Extra thick meat and fine flav. Attract. hrt shape means deeper flesh at the shldrs and the seed cavity is small. Dark olive grn w/a thin, hard rind. It has deep orange-clrd flesh very dry, sweet and fine grained. Med. sized frt (5-10 lbs.) Running vines set hvy crops. Good keeper. Quality is excell- ent for the home garden and for market.	North America	1E-05	1E-05	0.031158	0.849804	0.119008	1E-05	1	407
PI_267750		United States	'Candy Roadster'	Cucurbita maxima	NA	NA	Grown for over 100 years in North Carolina mountains. Plants vigorous, early maturing; leaf large; fruit slate gray, oblong, smooth, 20 by 9 inches. Susceptible to powdery mildew.	North America	0.079083	0.271059	0.024655	0.579617	0.020527	0.025058	1	431
PI_220861		United States	Hung	Cucurbita maxima	NA	NA	Fruits large, 14 inches by 15 inches, yellow.	North America	0.170955	1E-05	0.052482	0.638639	1E-05	0.137904	1	456
PI_518679		United States	Turban Squash	Cucurbita maxima	Cultivated	NA	Local type.	North America	1E-05	0.931364	1E-05	0.068596	1E-05	1E-05	5	163
PI_245142		United States	No Known Plant ID	Cucurbita maxima	NA	NA	Selection made from PI 176536. Fruits oblate, 8 by 10 inches; ribs 1 inch wide; flesh light yellow.	North America	0.136264	0.411947	0.002129	0.281621	0.006113	0.161926	5	113
PI_349354		United States	No Known Plant ID	Cucurbita maxima	NA	NA	NA	North America	1E-05	0.166435	0.113892	0.683969	1E-05	0.035684	1	433
PI_518678		United States	Banana Squash	Cucurbita maxima	Cultivated	NA	Local type. Peduncle tan, corky. Fruit pink, smooth and unmarked with a light green zone at flower end. Seeds deep tan.	North America	1E-05	0.126858	1E-05	0.858636	0.014476	1E-05	1	403
PI_302417		United States	Banquet Squash	Cucurbita maxima	Cultivated	NA	Oblate shaped friut; 6 - 10 inches by 4 - 5.5 inches with grooves, flesh orange 1 to 1.5 inches thick.	North America	0.148582	1E-05	0.00312	0.182905	0.646541	0.018843	6	12
G_23725		Argentina	Alayo	Cucurbita maxima	NA	NA	NA	South/Latin America	0.069572	1E-05	0.930388	1E-05	1E-05	1E-05	4	195
PI_458661		Argentina	TW 1080	Cucurbita maxima	NA	NA	Probably a mixture of local types. Local name Zapallo.	South/Latin America	0.101115	0.096392	0.240054	0.507919	0.05451	1E-05	1	455
PI_458678		Argentina	TWW-48	Cucurbita maxima	NA	NA	Donated by L.O. Melis.  Bush type.  Seeds white, margins white.  Local name Tanca.	South/Latin America	1E-05	1E-05	0.486778	0.319587	0.094095	0.099519	4	218
PI_458662		Argentina	TW 1080	Cucurbita maxima	NA	NA	Fruit medium-sized with deep vein tracts, rough surface. Probably from Misiones. Local name Zapallo.	South/Latin America	1E-05	1E-05	0.190066	0.711949	0.082374	0.015591	1	439
PI_458694		Argentina	TWW-64	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Seeds medium-sized, white, more or less marginless. Local name Taplop.	South/Latin America	1E-05	0.053312	0.60879	0.337868	1E-05	1E-05	4	219
G_23726		Argentina	Alayo	Cucurbita maxima	NA	NA	NA	South/Latin America	1E-05	0.044366	0.955594	1E-05	1E-05	1E-05	4	213
G_23731		Argentina	Maluen	Cucurbita maxima	NA	NA	NA	South/Latin America	1E-05	1E-05	0.99995	1E-05	1E-05	1E-05	4	212
PI_458693		Argentina	TWW-63	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Seeds medium-sized, roundish, white, margins light. Local name Vinaca.	South/Latin America	1E-05	1E-05	0.99995	1E-05	1E-05	1E-05	4	205
G_23728		Argentina	Chiuque	Cucurbita maxima	NA	NA	NA	South/Latin America	0.217901	0.011996	0.494493	0.008538	1E-05	0.267063	4	215
PI_458696		Argentina	TWW-66	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Seeds large, white, margins light. Local name Carla.	South/Latin America	1E-05	0.05445	0.94551	1E-05	1E-05	1E-05	4	214
PI_458663		Argentina	TW 1080	Cucurbita maxima	NA	NA	Fruit medium-sized, Probably elongate, with a rough surface. Probably from Misiones. Local name Zapallo.	South/Latin America	0.189431	0.016501	0.174471	0.521324	0.098264	1E-05	1	450
PI_458688		Argentina	TWW-58	Cucurbita maxima	NA	NA	Donated by L.O. Melis.  Bush type.  Seeds small, white, margins light. Local name Maguilta.	South/Latin America	1E-05	1E-05	0.99995	1E-05	1E-05	1E-05	4	206
PI_458689		Argentina	TWW-59	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Seeds small, white, margins light. Local name Pallamay.	South/Latin America	1E-05	1E-05	0.999947	1.3E-05	1E-05	1E-05	4	199
PI_458699		Argentina	TWW-69	Cucurbita maxima	NA	NA	Seeds white, medium-sized, margins present. Local name Campana-Labanda-70.	South/Latin America	1E-05	1E-05	0.178804	0.821156	1E-05	1E-05	1	398
PI_458676		Argentina	TWW-46	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Seeds white, marginless. Local name Supupa.	South/Latin America	1E-05	1E-05	0.99995	1E-05	1E-05	1E-05	4	201
PI_458677		Argentina	TWW-47	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Seeds white, margins present. Local name Sipigua.	South/Latin America	1E-05	1E-05	0.923613	0.076347	1E-05	1E-05	4	196
PI_458709		Argentina	TWW-86	Cucurbita maxima	NA	NA	Donated by J. Camara-Hernandez. Seeds medium to large, white, margins darker.	South/Latin America	1E-05	0.026729	0.225911	0.590242	0.004311	0.152797	1	448
PI_458710		Argentina	TWW-87	Cucurbita maxima	NA	NA	Donated by J. Camara-Hernandez. Seeds large, white, margins slightly darker.	South/Latin America	0.025629	1E-05	0.184838	0.655606	0.053488	0.080428	1	445
PI_458714		Argentina	TWW-92	Cucurbita maxima	NA	NA	Donated by J. Camara-Hernandez.  Seeds medium-sized, pure white, margins same color.	South/Latin America	0.037856	1E-05	0.114366	0.631925	0.215833	1E-05	1	427
PI_458682		Argentina	TWW-52	Cucurbita maxima	NA	NA	Donated by L.O. Melis.  Bush type.  Seeds white, margins white.  Local name Malopara.	South/Latin America	1E-05	1E-05	0.99995	1E-05	1E-05	1E-05	4	200
PI_458698		Argentina	TWW-68	Cucurbita maxima	NA	NA	Seeds white, medium-sized, margins present. Local name Zapallito del Tronco (Cochi magnif.).	South/Latin America	1E-05	1E-05	0.461768	0.432386	0.028787	0.077039	4	223
PI_458665		Argentina	TW 1080	Cucurbita maxima	NA	NA	Fruit surface rough. Probably from Misiones. Local name Zapallo.	South/Latin America	1E-05	1E-05	0.153421	0.765079	0.08147	1E-05	1	441
PI_458666		Argentina	TW 1080	Cucurbita maxima	NA	NA	Fruit surface rough. Flesh yellow, thick. Seeds large, yellow. Probably from Misiones. Local name Zapallo.	South/Latin America	0.103048	1E-05	0.249825	0.53704	0.067287	0.04279	1	451
PI_265557		Argentina	No Known Plant ID	Cucurbita maxima	NA	NA	NA	South/Latin America	0.058579	0.104372	0.20027	0.315501	0.099727	0.221551	5	109
PI_458701		Argentina	TWW-71	Cucurbita maxima	NA	NA	Seeds white, small, margins broad. Local name Zipinki Campana.	South/Latin America	0.077685	0.062185	0.20145	0.65866	1E-05	1E-05	1	443
PI_458702		Argentina	TWW-72	Cucurbita maxima	NA	NA	Seeds Banana type, large, tan, margins broad, light. Local name Plomo ruso (Plaunorskja).	South/Latin America	0.390369	0.089544	0.018527	0.158262	1E-05	0.343288	5	148
G_23732		Argentina	Maluen	Cucurbita maxima	NA	NA	NA	South/Latin America	1E-05	1E-05	0.99995	1E-05	1E-05	1E-05	4	211
G_23733		Argentina	Pichagua	Cucurbita maxima	NA	NA	NA	South/Latin America	1E-05	0.073955	0.123377	0.163021	0.173971	0.465666	3	278
PI_458692		Argentina	TWW-62	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Seeds medium-sized, white, margins light. Local name Vistalba.	South/Latin America	1E-05	1E-05	0.99995	1E-05	1E-05	1E-05	4	204
PI_458691		Argentina	TWW-61	Cucurbita maxima	NA	NA	Donated by L.O. Melis.  Winter bush type.  Seeds large, white, margins white.  Local name Marino de Mendoza.	South/Latin America	0.424094	0.108246	0.084778	0.258061	1E-05	0.124812	2	332
G_23734		Argentina	Pichagua	Cucurbita maxima	NA	NA	NA	South/Latin America	0.085445	1E-05	0.564772	0.210436	1E-05	0.139328	4	217
PI_458679		Argentina	No Known Plant ID	Cucurbita maxima	NA	NA	Donated by L.O. Melis.  Seeds white, margins white.  Local name Relanta.	South/Latin America	1E-05	0.118634	0.247763	0.573995	1E-05	0.059587	1	447
PI_458695		Argentina	TWW-65	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Seeds medium-sized, white, with slight sculpturing, margins light. Local name Sayanca.	South/Latin America	1E-05	1.9E-05	0.999941	1E-05	1E-05	1E-05	4	197
PI_458697		Argentina	TWW-67	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Seeds medium-sized, white, margins darker. Local name Pichagua.	South/Latin America	0.001272	0.040089	0.496376	0.409786	0.013689	0.038789	4	222
PI_458664		Argentina	TW 1080	Cucurbita maxima	NA	NA	Fruit surface rough. Probably from Misiones. Local name Zapallo.	South/Latin America	0.02512	1E-05	0.148961	0.738575	0.083297	0.004037	1	440
PI_458669		Argentina	Hubbard Rojo	Cucurbita maxima	NA	NA	Warted Hubbard type, fruit skin orange. Local name Zapallo.	South/Latin America	1E-05	0.237724	0.148787	0.398034	0.215435	1E-05	1	415
PI_458687		Argentina	TWW-57	Cucurbita maxima	NA	NA	Donated by L.O. Melis.  Bush type.  Seeds white, margins light.  Local name Choay.	South/Latin America	1E-05	1E-05	0.841424	0.137039	1E-05	0.021506	4	193
G_23729		Argentina	Malopara	Cucurbita maxima	NA	NA	NA	South/Latin America	1E-05	1.4E-05	0.999946	1E-05	1E-05	1E-05	4	198
G_23730		Argentina	Malopara	Cucurbita maxima	NA	NA	NA	South/Latin America	1E-05	1E-05	0.99995	1E-05	1E-05	1E-05	4	210
PI_458690		Argentina	TWW-60	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Seeds medium-sized, white, more or less marginless. Local name Chacoriano.	South/Latin America	1E-05	0.130163	0.400806	0.469001	1E-05	1E-05	4	220
PI_458704		Argentina	TWW-78	Cucurbita maxima	NA	NA	Donated by J. Camara-Hernandez.  Seeds medium-sized, creamy white, margins darker.	South/Latin America	1E-05	1E-05	0.248725	0.64332	0.059595	0.048341	1	444
PI_162671		Argentina	Forrajero	Cucurbita maxima	NA	NA	NA	South/Latin America	0.312854	0.061194	1E-05	0.491531	1E-05	0.134401	1	413
PI_458683		Argentina	TWW-53	Cucurbita maxima	NA	NA	Donated by L.O. Melis.  Seeds white, sculptured, marginless.  Local name Vistalba.	South/Latin America	1E-05	1E-05	0.99995	1E-05	1E-05	1E-05	4	208
PI_458660		Argentina	TW 1080	Cucurbita maxima	NA	NA	Probably a mixture of local types. Local name Zapallo.	South/Latin America	0.084106	0.012311	0.097203	0.626732	0.179638	1E-05	1	426
PI_458708		Argentina	TWW-82	Cucurbita maxima	NA	NA	Donated by J. Camara-Hernandez. Seeds medium-sized, white, margins white.	South/Latin America	1E-05	0.085134	0.138327	0.699849	0.07667	1E-05	1	438
PI_458686		Argentina	TWW-56	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Seeds white, margins almost white. Local name Chinque.	South/Latin America	1E-05	1E-05	0.99995	1E-05	1E-05	1E-05	4	207
PI_458670		Argentina	TW 1080	Cucurbita maxima	NA	NA	Probably imported from Misiones. Fruit yellow, rough surface, deep vein tracts,  skin orange. Flesh yellow. Local name Zapallo.	South/Latin America	0.102904	0.017301	0.211086	0.524942	0.143757	1E-05	1	452
PI_458684		Argentina	TWW-54	Cucurbita maxima	NA	NA	Donated by L.O. Melis.  Seeds small, white, almost marginless.  Local name Alayo.	South/Latin America	1E-05	1E-05	0.99995	1E-05	1E-05	1E-05	4	209
G_23727		Argentina	Chiuque	Cucurbita maxima	NA	NA	NA	South/Latin America	0.103234	1E-05	0.896726	1E-05	1E-05	1E-05	4	194
PI_458675		Argentina	TWW-45	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Fruit white. Local name Naclao.	South/Latin America	1E-05	1E-05	0.99995	1E-05	1E-05	1E-05	4	202
PI_162670		Argentina	No. 181	Cucurbita maxima	NA	NA	NA	South/Latin America	0.468897	0.037522	0.050545	0.372548	1E-05	0.070478	2	330
PI_458672		Argentina	TW 1080	Cucurbita maxima	NA	NA	Probably imported from Misiones.  Fruit flattish, smooth surface, orange, medium vein tracts, light color, producing stripes.  Flesh lemon, thin.  Seed cavity large. Local name Zapallo.	South/Latin America	1E-05	1E-05	0.097648	0.164152	0.604596	0.133584	6	99
PI_458703		Argentina	TWW-76	Cucurbita maxima	NA	NA	Donated by J. Camara-Hernandez. Seeds Banana type, large, golden brown, margins  lighter.	South/Latin America	0.143023	0.048518	0.399554	0.302597	0.016423	0.089885	4	216
PI_458673		Argentina	No Known Plant ID	Cucurbita maxima	NA	NA	Donated by L.O. Melis. Bush type. Fruit solid white. Local name Tabalque.	South/Latin America	1E-05	1E-05	0.99995	1E-05	1E-05	1E-05	4	203
PI_162669		Argentina	No. 182	Cucurbita maxima	NA	NA	NA	South/Latin America	0.443465	1E-05	0.009847	0.482642	0.064026	1E-05	1	410
