accession_id	country	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region	1	2	3	4	5	6	grp	pos
PI_451835	Guatemala	NA	Cucurbita moschata	Fruit star-shaped. Local name Ayote.	NA	NA	South/Latin America	1e-5	0.99995	1e-5	1e-5	1e-5	1e-5	2	229
PI_438579	Guatemala	HW 0179	Cucurbita moschata	NA	NA	NA	South/Latin America	1e-5	0.999943	1.7e-5	1e-5	1e-5	1e-5	2	223
PI_195312	Guatemala	2646	Cucurbita moschata	NA	NA	NA	South/Latin America	0.151568	0.40958	0.054557	0.131246	0.066633	0.186416	6	30
PI_438578	Guatemala	HW 0179	Cucurbita moschata	Commonly called Ayote.	NA	NA	South/Latin America	1e-5	0.747615	0.029921	0.014187	1e-5	0.208257	2	205
PI_312125	Guatemala	AYOTE	Cucurbita moschata	NA	NA	NA	South/Latin America	1e-5	0.919757	0.022055	1e-5	1e-5	0.058159	2	230
PI_449348	Guatemala	NA	Cucurbita moschata	Local name Ixchilcum.	NA	NA	South/Latin America	1e-5	0.911523	1e-5	1e-5	1e-5	0.088437	2	232
PI_449349	Guatemala	NA	Cucurbita moschata	Local name Pepita.	NA	NA	South/Latin America	1e-5	0.921291	1e-5	1e-5	1e-5	0.078669	2	234
PI_451839	Guatemala	NA	Cucurbita moschata	Fruit figure 8-shaped with upper half ribbed. Local name Ayote.	NA	NA	South/Latin America	1e-5	0.99995	1e-5	1e-5	1e-5	1e-5	2	228
PI_451846	Guatemala	NA	Cucurbita moschata	Fruit small, round. Local name Ayote.	NA	NA	South/Latin America	0.026438	0.571447	0.01295	0.36911	1e-5	0.020045	2	200
PI_194570	Guatemala	2543	Cucurbita moschata	NA	NA	NA	South/Latin America	1e-5	0.916969	1e-5	1e-5	1e-5	0.082991	2	233
PI_489695	Guatemala	K801-30	Cucurbita moschata	Fruits large, bottle-gourd shape, dark tan with few spots, 1.6kg. Local name Ayote.	NA	Cultivated material	South/Latin America	1e-5	0.609095	1e-5	0.009001	1e-5	0.381873	1	284
