accession_id	country	accession_name	taxonomy	narrative	cultivar_class	improvement_status	region	1	2	3	4	5	6	7	8	9	10	grp	pos
PI_442313	Mexico	Calabaza de India	Cucurbita pepo	Fruits white with green stripes, creamy white at maturity, flattened-round, 13 cm long, 16cm diam.	NA	Landrace	South/Latin America	1e-5	0.925659	1e-5	0.074261	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	6	141
PI_438696	Mexico	WC 2412	Cucurbita pepo	Seeds tan. Received as Cucurbita ficifolia.	NA	Landrace	South/Latin America	1e-5	0.728891	0.02913	1e-5	1e-5	0.237353	0.004566	1e-5	1e-5	1e-5	6	164
PI_438699	Mexico	WC 2072	Cucurbita pepo	Fruit oblate, slightly ribbed, dull yellow and green, rind hard, flesh orange. Received as Cucurbita mixta.	NA	Landrace	South/Latin America	1e-5	0.548188	0.029314	1e-5	1e-5	0.422428	1e-5	1e-5	1e-5	1e-5	6	172
Ames_21644	Mexico	TWW 165	Cucurbita pepo	Two pollinations split into 2 seed lots probably based on fruit type.	NA	Cultivated material	South/Latin America	1e-5	0.554338	1e-5	0.251516	0.01119	0.028325	0.033705	0.071947	0.003241	0.045717	6	174
PI_442311	Mexico	Calabaza de India	Cucurbita pepo	Fruits light green-mottled, creamy white at maturity, oval, 30cm long, 17cm diam.	NA	Landrace	South/Latin America	0.015749	0.925948	1e-5	0.043644	1e-5	1e-5	1e-5	1e-5	0.014599000000000001	1e-5	6	101
PI_318826	Mexico	22068	Cucurbita pepo	Cultivated by the Tarahumara Indians.	NA	Landrace	South/Latin America	0.35565	0.64427	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	1e-5	6	77
PI_438717	Mexico	Huiche	Cucurbita pepo	Seeds long, slender, tan. Received as Cucuribta mixta.	NA	Landrace	South/Latin America	1e-5	0.904781	1e-5	0.00807	1e-5	5.33e-4	0.017726	1e-5	1e-5	0.06884	6	118
PI_438700	Mexico	WC 2122	Cucurbita pepo	Received as Cucurbita mixta.	NA	Landrace	South/Latin America	1e-5	0.41093	0.226258	1e-5	1e-5	0.362742	1e-5	1e-5	1e-5	1e-5	6	171
PI_442316	Mexico	Calabaza de India	Cucurbita pepo	Fruits dark green, some mottling, cylindrical, 24cm long, 15cm diam.	NA	Landrace	South/Latin America	1e-5	0.74467	1e-5	0.132249	1e-5	0.060765	0.037128	1e-5	0.025139	1e-5	6	149
PI_442260	Mexico	Calabaza de Castilla	Cucurbita pepo	Fruits dark green, tan to maturity, inverted bell-shape, 30cm long, 23cm diam.  Rind 1 mm thick. Flesh lemon yellow. Received as C. moschata.	NA	Landrace	South/Latin America	1e-5	0.944188	1e-5	0.028372	1e-5	1e-5	0.02737	1e-5	1e-5	1e-5	6	96
